name	category	source	size	speed	ac	attack	ability_scores	special_qualities	starting_stats	advancement	flavor	monster_url	url
Kaprosuchus	Animal	Bestiary 5 pg. 313	Medium	30 ft.	+3 natural armor	bite (1d6), tail slap (1d6)	Str 15, Dex 14, Con 15, Int 1, Wis 14, Cha 2	low-light vision.	Size Medium; Speed 30 ft.; AC +3 natural armor; Attack bite (1d6), tail slap (1d6); Ability Scores Str 15, Dex 14, Con 15, Int 1, Wis 14, Cha 2; Special Qualities low-light vision.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack bite (1d8), tail slap (1d8); Ability Scores Str +6, Dex -2, Con +4; Special Attacks ramming snout.	This massive, squat crocodilian has forward facing eyes, jutting teeth, and a pronounced snout.		https://aonprd.com/DruidCompanions.aspx?ItemName=Kaprosuchus
Kentrosaurus	Animal	Bestiary 6 pg. 312	Medium	40 ft.	+2 natural armor	tail (1d8)	Str 10, Dex 16, Con 10, Int 2, Wis 13, Cha 10	impaling strike, low-light vision, scent.	Size Medium; Speed 40 ft.; AC +2 natural armor; Attack tail (1d8); Ability Scores Str 10, Dex 16, Con 10, Int 2, Wis 13, Cha 10; Special Qualities impaling strike, low-light vision, scent.	7th-Level Advancement: Size Large; AC +3 natural armor; Attack tail (2d6); Ability Scores Str +8, Dex -2, Con +4; Special Qualities defensive spikes.	This quadrupedal dinosaur has two rows of dorsal spikes, a spiked tail, and two more spikes projecting from its shoulders.		https://aonprd.com/DruidCompanions.aspx?ItemName=Kentrosaurus
Leech, Giant	Animal, Vermin	Ultimate Magic pg. 36	Small	5 ft., swim 20 ft.	+0 natural armor	bite (1d4 plus attach)	Str 9, Dex 14, Con 12, Int —, Wis 10, Cha 1	amphibious, blindsense 30 ft., scent, susceptible to salt	Size Small; Speed 5 ft., swim 20 ft.; AC +0 natural armor; Attack bite (1d4 plus attach); Ability Scores Str 9, Dex 14, Con 12, Int —, Wis 10, Cha 1; Special Attacks attach, blood drain (1 Str); Special Qualities amphibious, blindsense 30 ft., scent, susceptible to salt; CMD can't be tripped.	7th-Level Advancement: Size Medium; Attack bite (1d6 plus attach); Ability Scores Str +2, Dex -2, Con +2; Special Attacks blood drain (1 Str and 1 Con damage); Special Qualities blindsight 30 ft..	A parasite ballooned to monstrous proportions undulates in the muck, its circular maw a spiral of teeth.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Giant%20Leech	https://aonprd.com/DruidCompanions.aspx?ItemName=Leech,%20Giant
Lizard (Giant Chameleon)	Animal	Bestiary 3 pg. 312	Medium	30 ft., climb 30 ft.		bite (1d6)	Str 12, Dex 14, Con 14, Int 2, Wis 11, Cha 7	+10 Stealth when still, low-light vision.	Size Medium; Speed 30 ft., climb 30 ft.; Attack bite (1d6); Ability Scores Str 12, Dex 14, Con 14, Int 2, Wis 11, Cha 7; Special Qualities +10 Stealth when still, low-light vision.	4th-Level Advancement: Size Large; AC +2 natural armor; Attack bite (1d8); Ability Scores Str +4, Dex -2, Con +2; Special Attacks pull (tongue, 5 ft.), tongue; Special Qualities speed increase (40 ft., climb 40 ft.).	Nearly invisible in its surroundings, this scaly lizard’s eyes dart about independently of each other.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Giant%20Chameleon	https://aonprd.com/DruidCompanions.aspx?ItemName=Lizard%20(Giant%20Chameleon)
Lizard (Giant Gecko)	Animal	Bestiary 3 pg. 312	Small	30 ft.		bite (1d6)	Str 11, Dex 15, Con 12, Int 2, Wis 14, Cha 7	expert climber, low-light vision.	Size Small; Speed 30 ft.; Attack bite (1d6); Ability Scores Str 11, Dex 15, Con 12, Int 2, Wis 14, Cha 7; Special Qualities expert climber, low-light vision.	4th-Level Advancement: Size Medium; AC +2 natural armor; Attack bite (2d4); Ability Scores Str +4, Dex -2, Con +2; Special Qualities speed increase (40 ft.).	An oversized lizard the size of a horse scans the area, its bulging eyes darting this way and that, completely independent of one another. Every few moments a long pink tongue snaps from its wide mouth, either to snatch up some unseen insect or moisten an eye.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Giant%20Gecko	https://aonprd.com/DruidCompanions.aspx?ItemName=Lizard%20(Giant%20Gecko)
Lizard (Monitor Lizard)	Animal	Pathfinder RPG Bestiary pg. 194	Small	30 ft., swim 30 ft.	+1 natural armor	bite (1d6 plus grab)	Str 13, Dex 17, Con 12, Int 2, Wis 12, Cha 6	low-light vision, scent.	Size Small; Speed 30 ft., swim 30 ft.; AC +1 natural armor; Attack bite (1d6 plus grab); Ability Scores Str 13, Dex 17, Con 12, Int 2, Wis 12, Cha 6; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Medium; AC +2 natural armor; Attack bite (1d8 plus grab and poison); Ability Scores Str +4, Dex -2, Con +4.	This immense lizard moves with a slow but relentless gait. Its feet end in large talons, and ropes of drool hang from its toothy maw.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Monitor%20Lizard	https://aonprd.com/DruidCompanions.aspx?ItemName=Lizard%20(Monitor%20Lizard)
Llama	Animal	Ultimate Wilderness pg. 180	Small	40 ft.	+1 natural armor	bite (1d4)	Str 11, Dex 16, Con 12, Int 2, Wis 13, Cha 9	low-light vision.	Size Small; Speed 40 ft.; AC +1 natural armor; Attack bite (1d4); Ability Scores Str 11, Dex 16, Con 12, Int 2, Wis 13, Cha 9; Special Qualities low-light vision.	4th-Level Advancement: Size Medium; Attack bite (1d6); Ability Scores Str +4, Dex -2, Con +4.	While some value it for its hair, the llama makes a fine animal companion as well, and it has traditionally been used as a beast of burden in mountainous regions.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Llama	https://aonprd.com/DruidCompanions.aspx?ItemName=Llama
Locust, Giant	Animal, Vermin	Ultimate Wilderness pg. 185	Small	20 ft., climb 20 ft., fly 20 ft. (poor)	+3 natural armor	bite (1d6)	Str 12, Dex 17, Con 11, Int —, Wis 10, Cha 7	+18 Acrobatics when jumping, darkvision 60 ft., leap (can take 10 on Acrobatics checks to jump, even when distracted or threatened)	Size Small; Speed 20 ft., climb 20 ft., fly 20 ft. (poor); AC +3 natural armor; Attack bite (1d6); Ability Scores Str 12, Dex 17, Con 11, Int —, Wis 10, Cha 7; Special Attacks spit goo (ranged touch attack, 30-foot range, sickened for 1 round); Special Qualities +18 Acrobatics when jumping, darkvision 60 ft., leap (can take 10 on Acrobatics checks to jump, even when distracted or threatened); CMD +8 vs. trip.	4th-Level Advancement: Size Medium; Speed 20 ft., climb 20 ft., fly 60 ft. (average); AC +2 natural armor; Attack bite (1d8); Ability Scores Str +4, Dex -2, Con +2; Special Attacks voracious (bite attack deals double damage to creatures with the plant subtype and to objects made of paper, wood, or other plant materials)..	The giant locust has long limber legs and the ability to spit a caustic glob of noxious goo.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Giant%20Locust	https://aonprd.com/DruidCompanions.aspx?ItemName=Locust,%20Giant
Manta Ray	Animal	Bestiary 2 pg. 232	Medium	swim 60 ft.	+1 natural armor	tail slap (1d4)	Str 8, Dex 15, Con 11, Int 1, Wis 13, Cha 2	low-light vision.	Size Medium; Speed swim 60 ft.; AC +1 natural armor; Attack tail slap (1d4); Ability Scores Str 8, Dex 15, Con 11, Int 1, Wis 13, Cha 2; Special Qualities low-light vision.	4th-Level Advancement: Size Large; AC +2 natural armor; Attack tail slap (1d6); Ability Scores Str +8, Dex -2, Con +4; Special Qualities blindsense 30 ft..	Gliding gracefully through the water on wing-like fins, this large ray scoops up tiny morsels in its wide mouth.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Manta%20Ray	https://aonprd.com/DruidCompanions.aspx?ItemName=Manta%20Ray
Mantis Shrimp, Giant	Animal, Vermin	Ultimate Wilderness pg. 185	Small	40 ft., swim 30 ft.	+3 natural armor	2 pincers (1d6)	Str 12, Dex 17, Con 14, Int —, Wis 13, Cha 6	aquatic blindsense 10 ft., darkvision 60 ft., sonic resistance 5	Size Small; Speed 40 ft., swim 30 ft.; AC +3 natural armor; Attack 2 pincers (1d6); Ability Scores Str 12, Dex 17, Con 14, Int —, Wis 13, Cha 6; Special Qualities aquatic blindsense 10 ft., darkvision 60 ft., sonic resistance 5; CMD +12 vs. trip.	7th-Level Advancement: Size Medium; AC +2 natural armor; Attack 2 pincers (1d8); Ability Scores Str +6, Dex -2, Con +2; Special Attacks speedy pincers (can make iterative attacks with one of its pincer attacks); Special Qualities blindsight 10 ft., sonic resistance 10.	This colorful aquatic vermin has powerful claws capable of striking with blinding speed.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Giant%20Mantis%20Shrimp	https://aonprd.com/DruidCompanions.aspx?ItemName=Mantis%20Shrimp,%20Giant
Mantis, Giant	Animal, Vermin	Ultimate Magic pg. 37	Medium	30 ft., climb 30 ft., fly 40 ft. (average)	+3 natural armor	2 claws (1d4 plus grab)	Str 10, Dex 15, Con 10, Int —, Wis 12, Cha 7	darkvision	Size Medium; Speed 30 ft., climb 30 ft., fly 40 ft. (average); AC +3 natural armor; Attack 2 claws (1d4 plus grab); Ability Scores Str 10, Dex 15, Con 10, Int —, Wis 12, Cha 7; Special Attacks lunge; Special Qualities darkvision; CMD +12 vs. trip.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack 2 claws (1d6); Ability Scores Str +8, Dex -2, Con +4; Special Attacks mandibles (1d6 secondary attack against a grabbed target), sudden strike (may take a full attack in the surprise round).	This towering insect walks on its back four legs. Its head is triangular and its front legs sport razor-sharp edges and claws.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Giant%20Mantis	https://aonprd.com/DruidCompanions.aspx?ItemName=Mantis,%20Giant
Marax	Animal	Pathfinder #90: The Divinity Drive pg. 87	Medium	30 ft.	+3 natural armor	bite (1d6), tail barbs (secondary natural attack	Str 16, Dex 15, Con 12, Int 2, Wis 12, Cha 6	low-light vision, scent.	Size Medium; Speed 30 ft.; AC +3 natural armor; Attack bite (1d6), tail barbs (secondary natural attack; 1d4 plus poison); Ability Scores Str 16, Dex 15, Con 12, Int 2, Wis 12, Cha 6; Special Attacks poison (frequency 1 round [4], effect 1d2 Dex damage, cure 1 save, Con-based DC); Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack bite (1d8), 2 claws (1d4); Ability Scores Str +6, Dex -2, Con +2; Special Attacks pounce.	Dense, bony growths line the back of this bipedal predator. Between its gnashing, toothy underbite, scythe-like claws, and spiked tail, no part of this beast offers mercy.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Marax	https://aonprd.com/DruidCompanions.aspx?ItemName=Marax
Marsupial Devil	Animal	Ultimate Wilderness pg. 180	Small	20 ft.	+1 natural armor	bite (1d6)	Str 15, Dex 13, Con 12, Int 2, Wis 10, Cha 7	low-light vision, scent.	Size Small; Speed 20 ft.; AC +1 natural armor; Attack bite (1d6); Ability Scores Str 15, Dex 13, Con 12, Int 2, Wis 10, Cha 7; Special Qualities low-light vision, scent.	4th-Level Advancement: Ability Scores Str +4, Con +2.	This toothy marsupial has a perhaps undeserved reputation for ferocity.		https://aonprd.com/DruidCompanions.aspx?ItemName=Marsupial%20Devil
Marsupial Lion	Animal	Ultimate Wilderness pg. 180	Medium	30 ft., climb 20 ft.	+1 natural armor	bite (1d6), 2 claws (1d4)	Str 12, Dex 16, Con 13, Int 2, Wis 13, Cha 7	low-light vision, scent.	Size Medium; Speed 30 ft., climb 20 ft.; AC +1 natural armor; Attack bite (1d6), 2 claws (1d4); Ability Scores Str 12, Dex 16, Con 13, Int 2, Wis 13, Cha 7; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; Speed climb 30 ft.; AC +2 natural armor; Attack bite (1d8), 2 claws (1d6 plus grab); Ability Scores Str +8, Dex -2, Con +4.	Somewhat slimmer than the standard lion, the marsupial lion is no less dangerous in battle.		https://aonprd.com/DruidCompanions.aspx?ItemName=Marsupial%20Lion
Megafauna (Archelon)	Animal	Bestiary 3 pg. 311	Medium	15 ft., swim 50 ft.	+10 natural armor	bite (1d6)	Str 8, Dex 10, Con 9, Int 2, Wis 13, Cha 6	low-light vision, hold breath, scent.	Size Medium; Speed 15 ft., swim 50 ft.; AC +10 natural armor; Attack bite (1d6); Ability Scores Str 8, Dex 10, Con 9, Int 2, Wis 13, Cha 6; Special Qualities low-light vision, hold breath, scent.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack bite (1d8); Ability Scores Str +8, Dex -2, Con +4.	The shell of this immense sea turtle easily spans 12 feet in length. Its narrow head ends in a hooked beak.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Archelon	https://aonprd.com/DruidCompanions.aspx?ItemName=Megafauna%20(Archelon)
Megafauna (Arsinoitherium)	Animal	Bestiary 2 pg. 186	Medium	30 ft.	+4 natural armor	gore (1d8)	Str 14, Dex 12, Con 15, Int 2, Wis 13, Cha 3	low-light vision, scent.	Size Medium; Speed 30 ft.; AC +4 natural armor; Attack gore (1d8); Ability Scores Str 14, Dex 12, Con 15, Int 2, Wis 13, Cha 3; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack gore (2d8); Ability Scores Str +8, Dex -2, Con +4; Special Attacks powerful charge (2d8), trample.	This creature is much like a rhino, some six feet tall and ten feet long, with a pair of massive, knife-like horns curving up from its nose.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Arsinoitherium	https://aonprd.com/DruidCompanions.aspx?ItemName=Megafauna%20(Arsinoitherium)
Megafauna (Baluchitherium)	Animal	Bestiary 3 pg. 311	Medium	40 ft.	+4 natural armor	2 hooves (1d4)	Str 14, Dex 14, Con 15, Int 2, Wis 13, Cha 6	low-light vision, scent.	Size Medium; Speed 40 ft.; AC +4 natural armor; Attack 2 hooves (1d4); Ability Scores Str 14, Dex 14, Con 15, Int 2, Wis 13, Cha 6; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +3 natural armor; Attack 2 hooves (1d6); Ability Scores Str +8, Dex -2, Con +4; Special Attacks trample.	This towering armored herbivore resembles a hornless rhinoceros, but with longer legs and a longer neck.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Baluchitherium	https://aonprd.com/DruidCompanions.aspx?ItemName=Megafauna%20(Baluchitherium)
Megafauna (Basilosaurus)	Animal	Bestiary 3 pg. 311	Medium	swim 40 ft.	+1 natural armor	bite (1d4), tail slap (1d4)	Str 11, Dex 14, Con 12, Int 2, Wis 14, Cha 6	low-light vision, hold breath.	Size Medium; Speed swim 40 ft.; AC +1 natural armor; Attack bite (1d4), tail slap (1d4); Ability Scores Str 11, Dex 14, Con 12, Int 2, Wis 14, Cha 6; Special Qualities low-light vision, hold breath.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack bite (1d6), tail slap (1d6); Ability Scores Str +8, Dex -2, Con +4; Special Qualities blindsense 60 ft..	This immense primeval whale has a sleek body that looks more serpentine than mammal, and jaws filled with sharp teeth.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Basilosaurus	https://aonprd.com/DruidCompanions.aspx?ItemName=Megafauna%20(Basilosaurus)
Megafauna (Chalicotherium)	Animal	Pathfinder #91: Battle of Bloodmarch Hills pg. 86	Medium	30 ft., climb 30 ft.	+4 natural armor	2 claws (1d4)	Str 12, Dex 14, Con 13, Int 2, Wis 13, Cha 3	low-light vision, scent.	Size Medium; Speed 30 ft., climb 30 ft.; AC +4 natural armor; Attack 2 claws (1d4); Ability Scores Str 12, Dex 14, Con 13, Int 2, Wis 13, Cha 3; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack 2 claws (1d6); Ability Scores Str +8, Dex -2, Con +4; Special Attacks rend (2 claws, 1d6).	This huge, slothlike creature has long, clawed forelimbs and short rear legs.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Chalicotherium	https://aonprd.com/DruidCompanions.aspx?ItemName=Megafauna%20(Chalicotherium)
Megafauna (Deinotherium)	Animal	Pathfinder #91: Battle of Bloodmarch Hills pg. 87	Medium	30 ft.	+4 natural armor	slam (1d6), gore (1d8)	Str 14, Dex 10, Con 15, Int 2, Wis 13, Cha 3	low-light vision, scent.	Size Medium; Speed 30 ft.; AC +4 natural armor; Attack slam (1d6), gore (1d8); Ability Scores Str 14, Dex 10, Con 15, Int 2, Wis 13, Cha 3; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack slam (1d8), gore (2d6); Ability Scores Str +8, Dex -2, Con +4; Special Attacks sweep, trample.	This creature resembles an elephant, though it has a shorter, thicker trunk and sharp, downward-curving tusks.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Deinotherium	https://aonprd.com/DruidCompanions.aspx?ItemName=Megafauna%20(Deinotherium)
Megafauna (Embolotherium)	Animal	Pathfinder #91: Battle of Bloodmarch Hills pg. 87	Medium	30 ft.	+6 natural armor	bite (1d6)	Str 14, Dex 10, Con 13, Int 2, Wis 13, Cha 3	low-light vision.	Size Medium; Speed 30 ft.; AC +6 natural armor; Attack bite (1d6); Ability Scores Str 14, Dex 10, Con 13, Int 2, Wis 13, Cha 3; Special Qualities low-light vision.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack bite (1d8); Ability Scores Str +8, Dex -2, Con +4; Special Attacks trample.	This creature is reminiscent of a rhinoceros, but instead of pointed horns on its nose, this creature possesses a blunt, bony protrusion.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Embolotherium	https://aonprd.com/DruidCompanions.aspx?ItemName=Megafauna%20(Embolotherium)
Megafauna (Glyptodon)	Animal	Bestiary 2 pg. 186	Medium	20 ft.	+5 natural armor	2 claws (1d8)	Str 13, Dex 12, Con 13, Int 2, Wis 13, Cha 6	low-light vision, scent.	Size Medium; Speed 20 ft.; AC +5 natural armor; Attack 2 claws (1d8); Ability Scores Str 13, Dex 12, Con 13, Int 2, Wis 13, Cha 6; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack 2 claws (1d10); Ability Scores Str +8, Dex -2, Con +4.	This armored creature has a bony, turtle-like shell from which protrude short limbs, a blunt head, and a short spiky tail.		https://aonprd.com/DruidCompanions.aspx?ItemName=Megafauna%20(Glyptodon)
Megafauna (Megalania)	Animal	Bestiary 3 pg. 312	Medium	30 ft.	+1 natural armor	bite (1d6 plus grab)	Str 13, Dex 17, Con 12, Int 2, Wis 12, Cha 6	low-light vision, scent.	Size Medium; Speed 30 ft.; AC +1 natural armor; Attack bite (1d6 plus grab); Ability Scores Str 13, Dex 17, Con 12, Int 2, Wis 12, Cha 6; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +1 natural armor; Attack bite (1d8 plus grab and poison); Ability Scores Str +4, Dex -2, Con +4.	This gigantic lizard has short but powerful limbs, a muscular tail, and a spiny crest that runs the length of its body.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Megalania	https://aonprd.com/DruidCompanions.aspx?ItemName=Megafauna%20(Megalania)
Megafauna (Megaloceros)	Animal	Bestiary 2 pg. 187	Medium	50 ft.	+3 natural armor	gore (1d8)	Str 12, Dex 17, Con 14, Int 2, Wis 15, Cha 5	low-light vision, scent.	Size Medium; Speed 50 ft.; AC +3 natural armor; Attack gore (1d8); Ability Scores Str 12, Dex 17, Con 14, Int 2, Wis 15, Cha 5; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack gore (2d6), 2 hooves (1d4); Ability Scores Str +8, Dex -2, Con +4; Special Attacks powerful charge (2d6).	The massive and majestic elk stands fully the height of a human at its shoulder, and its antlers stretch over ten feet across.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Megaloceros	https://aonprd.com/DruidCompanions.aspx?ItemName=Megafauna%20(Megaloceros)
Megafauna (Megatherium)	Animal	Bestiary 2 pg. 187	Medium	40 ft., climb 10 ft.	+5 natural armor	2 claws (1d4)	Str 9, Dex 14, Con 11, Int 2, Wis 13, Cha 6	low-light vision, scent.	Size Medium; Speed 40 ft., climb 10 ft.; AC +5 natural armor; Attack 2 claws (1d4); Ability Scores Str 9, Dex 14, Con 11, Int 2, Wis 13, Cha 6; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack 2 claws (1d6); Ability Scores Str +8, Dex -2, Con +4; Special Attacks rend (2 claws, 1d8).	The great sloth, standing on its hind legs, can reach the treetops with its agile tongue to grab at foliage.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Megatherium	https://aonprd.com/DruidCompanions.aspx?ItemName=Megafauna%20(Megatherium)
Megaprimatus	Animal	Bestiary 5 pg. 313	Medium	30 ft.	+1 natural armor	bite (1d4), 2 claws (1d4)	Str 13, Dex 17, Con 10, Int 2, Wis 12, Cha 7	low-light vision, scent.	Size Medium; Speed 30 ft.; AC +1 natural armor; Attack bite (1d4), 2 claws (1d4); Ability Scores Str 13, Dex 17, Con 10, Int 2, Wis 12, Cha 7; Special Qualities low-light vision, scent.	4th-Level Advancement: Size Large; AC +2 natural armor; Attack bite (1d6), 2 claws (1d6); Ability Scores Str +8, Dex -2, Con +4.	This titanic ape has great patches of coarse gray and brown fur, and its skin is thick and leathery.		https://aonprd.com/DruidCompanions.aspx?ItemName=Megaprimatus
Mindspin Ram	Animal	Pathfinder #91: Battle of Bloodmarch Hills pg. 82	Small	40 ft.	+1 natural armor	gore (1d4)	Str 10, Dex 17, Con 11, Int 2, Wis 14, Cha 7	low-light vision, scent.	Size Small; Speed 40 ft.; AC +1 natural armor; Attack gore (1d4); Ability Scores Str 10, Dex 17, Con 11, Int 2, Wis 14, Cha 7; Special Qualities low-light vision, scent.	4th-Level Advancement: Size Medium; Attack gore (1d6); Ability Scores Str +4, Dex -2, Con +2; Special Attacks bleed (gore, 1), powerful charge (gore, 1d8).	This stark white ram’s curved horns appear to have sharp thorns studding every inch of their surface.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Mindspin%20Ram	https://aonprd.com/DruidCompanions.aspx?ItemName=Mindspin%20Ram
Moa	Animal	Bestiary 5 pg. 313	Medium	30 ft.	+1 natural armor	2 talons (1d3)	Str 13, Dex 16, Con 12, Int 2, Wis 11, Cha 9	low-light vision.	Size Medium; Speed 30 ft.; AC +1 natural armor; Attack 2 talons (1d3); Ability Scores Str 13, Dex 16, Con 12, Int 2, Wis 11, Cha 9; Special Qualities low-light vision.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack 2 talons (1d4); Ability Scores Str +4, Con +2.	Standing on muscular legs that end in enormous talons, this flightless bird is almost twice the height of a man.		https://aonprd.com/DruidCompanions.aspx?ItemName=Moa
Mokele-Mbembe	Animal	Bestiary 6 pg. 312	Medium	30 ft., swim 30 ft.	+5 natural armor	bite (1d8), tail slap (1d8, reach 10 ft.)	Str 16, Dex 17, Con 10, Int 2, Wis 15, Cha 11	low-light vision, scent.	Size Medium; Speed 30 ft., swim 30 ft.; AC +5 natural armor; Attack bite (1d8), tail slap (1d8, reach 10 ft.); Ability Scores Str 16, Dex 17, Con 10, Int 2, Wis 15, Cha 11; Special Qualities low-light vision, scent.	9th-Level Advancement: Size Large; AC +4 natural armor; Attack bite (2d6), tail slap (2d6, reach 15 ft.); Ability Scores Str +8, Dex -2, Con +4; Special Qualities trample, whip tail.	A triangular reptilian head with a mouth full of curved teeth, attached to a long snaking neck, rises from the surface of the water. Long spines run down its neck, back, and whip-like tail, which uncurls to snap the air with a loud report.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Mokele-Mbembe	https://aonprd.com/DruidCompanions.aspx?ItemName=Mokele-Mbembe
Mole, Giant	Animal	Ultimate Wilderness pg. 180	Small	20 ft., burrow 10 ft.	+1 natural armor	2 claws (1d4)	Str 12, Dex 15, Con 13, Int 2, Wis 10, Cha 5	low-light vision, tremorsense 30 ft..	Size Small; Speed 20 ft., burrow 10 ft.; AC +1 natural armor; Attack 2 claws (1d4); Ability Scores Str 12, Dex 15, Con 13, Int 2, Wis 10, Cha 5; Special Qualities low-light vision, tremorsense 30 ft..	4th-Level Advancement: Size Medium; Speed burrow 20 ft.; AC +2 natural armor; Attack 2 claws (1d6); Ability Scores Str +2, Dex -2, Con +4; Special Attacks rend (2 claws, 1d6).	This large-clawed burrowing mammal is slow but can burrow through loose earth and soil with ease to surprise its foes.		https://aonprd.com/DruidCompanions.aspx?ItemName=Mole,%20Giant
Mome Rath	Animal	Pathfinder #119: Prisoners of the Blight pg. 83	Small	30 ft., climb 10 ft.	+1 natural armor	2 claws (1d3 plus poison)	Str 12, Dex 14, Con 15, Int 2, Wis 14, Cha 17	low-light vision, scent.	Size Small; Speed 30 ft., climb 10 ft.; AC +1 natural armor; Attack 2 claws (1d3 plus poison); Ability Scores Str 12, Dex 14, Con 15, Int 2, Wis 14, Cha 17; Special Attacks poison (frequency 1 round [3], effect sickened for 1d3 rounds, cure 1 save, Con-based DC); Special Qualities low-light vision, scent.	4th-Level Advancement: Size Medium; Attack 2 claws (1d4 plus poison); Special Attacks poison (frequency 1 round [3], effect sickened for 1d6 rounds, cure 1 save, Con-based DC).	Moss and lichen grow from the shaggy back of this boar-like animal. Its curving claws and prehensile tail hold it in the trees.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Mome%20Rath	https://aonprd.com/DruidCompanions.aspx?ItemName=Mome%20Rath
Moose	Animal	Ultimate Wilderness pg. 180	Medium	40 ft.	+2 natural armor	gore (1d6), 2 hooves (1d3)	Str 12, Dex 15, Con 14, Int 2, Wis 13, Cha 7	low-light vision.	Size Medium; Speed 40 ft.; AC +2 natural armor; Attack gore (1d6), 2 hooves (1d3); Ability Scores Str 12, Dex 15, Con 14, Int 2, Wis 13, Cha 7; Special Qualities low-light vision.	7th-Level Advancement: Size Large; AC +3 natural armor; Attack gore (1d8), 2 hooves (1d4); Ability Scores Str +6, Dex -2, Con +4; Special Attacks powerful charge (gore, 1d8).	Powerful and often ill tempered, the moose is an intimidating choice for an animal companion.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Moose	https://aonprd.com/DruidCompanions.aspx?ItemName=Moose
Moray Eel	Animal	Pathfinder RPG Bestiary pg. 119	Medium	swim 30 ft.	+5 natural armor	bite (1d8)	Str 14, Dex 16, Con 12, Int 1, Wis 12, Cha 8	low-light vision, grab.	Size Medium; Speed swim 30 ft.; AC +5 natural armor; Attack bite (1d8); Ability Scores Str 14, Dex 16, Con 12, Int 1, Wis 12, Cha 8; Special Qualities low-light vision, grab.	7th-Level Advancement: Size Large; AC +3 natural armor; Attack bite (2d6); Ability Scores Str +8, Dex -2, Con +4; Special Attacks gnaw.	This sixteen-foot-long eel slithers through the water with uncanny grace, mouth open to display large teeth and a second set of jaws.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Giant%20Moray%20Eel	https://aonprd.com/DruidCompanions.aspx?ItemName=Moray%20Eel
Mosquito, Giant	Animal, Vermin	Ultimate Wilderness pg. 185	Small	20 ft., fly 60 ft. (good)	+1 natural armor	bite (1d6 plus bleed and grab)	Str 14, Dex 21, Con 15, Int —, Wis 13, Cha 6	darkvision 60 ft.	Size Small; Speed 20 ft., fly 60 ft. (good); AC +1 natural armor; Attack bite (1d6 plus bleed and grab); Ability Scores Str 14, Dex 21, Con 15, Int —, Wis 13, Cha 6; Special Attacks bleed (1d4), grab; Special Qualities darkvision 60 ft.; CMD +8 vs. trip.	7th-Level Advancement: Size Medium; AC +1 natural armor; Attack bite (1d8 plus bleed and grab); Ability Scores Str +4, Dex -2, Con +2; Special Attacks bleed (2d4), blood drain (1d2 Constitution).	Between its bloodthirsty nature and the annoying drone of its wings, the giant mosquito is a much-loathed creature. Unlike its smaller cousins, a giant mosquito can easily kill larger creatures by draining them of their blood.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Giant%20Mosquito	https://aonprd.com/DruidCompanions.aspx?ItemName=Mosquito,%20Giant
