name	types	source	description	prerequisites	benefit	normal	special	mythic	combat_trick	url
Piercing Spell	Metamagic	Ultimate Magic pg. 154	Your studies have helped you develop methods to overcome spell resistance.		When you cast a piercing spell against a target with spell resistance, it treats the spell resistance of the target as 5 lower than its actual SR. A piercing spell uses up a spell slot one level higher than the spell’s actual level.					https://aonprd.com/FeatDisplay.aspx?ItemName=Piercing%20Spell
Pinch Time		Heroes from the Fringe pg. 21	Often having one parent with a human lifespan and one with an elven lifespan, many half-elves have a skewed perception of time, and none more so than the Spireborn, who also study the subject of time academically.	Character level 5th, Spireborn half-elf.	Once per day, as a standard action, you can gain the benefits of haste until the end of your next turn.					https://aonprd.com/FeatDisplay.aspx?ItemName=Pinch%20Time
Plague Resistance		Villain Codex pg. 68	Diseases tend to have milder effects on you.	Constitution 13.	When you take damage or drain to your ability scores as the result of a disease, roll damage and drain to each ability score twice and take the lower result. You suffer any other effects of the disease as normal.					https://aonprd.com/FeatDisplay.aspx?ItemName=Plague%20Resistance
Plains Nomad		Ultimate Wilderness pg. 117	You are a native of the wide and endless prairie, savanna, or steppe.	Favored terrain (plains) class feature.	You and a mount you are riding gain a +2 bonus on Constitution checks to avoid damage and fatigue from hustling or a forced march. In plains terrain, this bonus is doubled and also applies on Survival checks to avoid getting lost, to find food and water, to protect yourself from severe weather, and to predict the weather.					https://aonprd.com/FeatDisplay.aspx?ItemName=Plains%20Nomad
Planar Focus		Monster Summoner's Handbook pg. 14	By studying other planes, you’ve learned to take on aspects of outsiders as well as animals.	Knowledge (planes) 5 ranks, animal focusACG class feature.	When you use your animal focus class feature, you can choose any of the following new aspects unless they conflict with your alignment.<br>Air: You gain a constant feather fall effect. At 10th level, you instead gain a constant levitate effect.<br>Chaotic: Your form shifts subtly, making it difficult for others to aim precise attacks against you. You gain a 25% chance to negate extra damage from critical hits and precision damage from attacks made against you (such as from sneak attacks). Only chaotic characters can use this planar focus.<br>Cold: Creatures that attack you with natural attacks or melee weapons take 1d4 points of cold damage for every 2 class levels you possess.<br>Earth: You gain a burrow speed equal to your base land speed, and a +2 enhancement bonus to your natural armor.<br>Evil: You gain a +1 profane bonus to AC and on saves against attacks made and effects created by good outsiders. This bonus increases to +2 at 10th level. Only evil characters can use this planar focus.<br>Fire: Your natural attacks and melee weapons deal 1d6 points of fire damage for every 4 class levels you possess.<br>Good: You gain a +1 sacred bonus to AC and on saves against attacks made or effects created by evil outsiders. This bonus increases to +2 at 10th level. Only good characters can use this planar focus.<br>Lawful: You can automatically succeed at any saving throw against a polymorph spell or effect. Only lawful characters can use this planar focus.<br>Shadow: You gain a +5 bonus on Stealth and Sleight of Hand checks.<br>Water: You gain a 30-foot swim speed and can breathe water as well as air.					https://aonprd.com/FeatDisplay.aspx?ItemName=Planar%20Focus
Planar Heritage		Planar Adventures pg. 31	You can trace your ancestry to a type of native outsider, even though you yourself are otherwise fully human.	Human.	Choose one type of native outsider (such as ganzi). You count as both human and that race for any effects related to race. For example, if you choose ganzi, you are considered both a human and a ganzi for the purposes of taking traits, meeting feat prerequisites, determining how spells and magic items affect you, and so on. You must have the requisite physical features to gain certain benefits, as determined by the GM (for example, you cannot gain feats that augment your tail’s abilities if you do not actually have a tail).		You cannot select Planar Heritage if you already have an ability or feat (like Racial Heritage) that adjusts your heritage in this way.			https://aonprd.com/FeatDisplay.aspx?ItemName=Planar%20Heritage
Planar Hunter		Champions of Balance pg. 13	After careful study of otherworldly environments, you can quickly evaluate how an outsider reacts in its home surroundings. You can use your knowledge of the outsider’s native environment to guide your attacks and overcome the outsider’s natural resistances.	Knowledge (planes) 5 ranks, favored terrain (any plane) class feature.	When you are on one of the planes you’ve selected as a favored terrain, you gain a +2 bonus on weapon attack rolls against outsiders native to that plane. You also ignore up to 5 points of damage reduction when making weapon attacks against outsiders native to that plane, except for damage reduction without a type (such as DR 10/—). In addition, you gain this bonus against extraplanar creatures you encounter and identify as being from one of your planar favored terrains, such as with a successful Knowledge (planes) check, regardless of what plane you or they are on.		You may select this feat multiple times. Each time you take it, you apply it to a different qualifying favored terrain.			https://aonprd.com/FeatDisplay.aspx?ItemName=Planar%20Hunter
Planar Mentor		Plane-Hopper's Handbook pg. 26	Whether you sought it out, caught its attention, or inherited its service, an outsider is watching over you. The more you impress it, the more it shares its power and knowledge.		When you take this feat, choose one non-unique outsider with 18 Hit Dice or fewer and whose alignment is within one step of your own along either the law/chaos axis or the good/evil axis. Twice per day (three times per day for an outsider with only neutral alignment components) when you fulfill the condition associated with either component of your mentor’s alignment, you can gain your mentor’s boon for that alignment as an immediate action. This grants you resistance equal to your level to a particular energy type as well as a special benefit associated with that alignment. These benefits last for a number of rounds equal to your Charisma modifier + 1 (minimum 1).<br>Chaotic: To earn chaotic approval, you must provoke an attack of opportunity from a creature whose CR is at least half your level. You gain acid resistance as well as a 10% miss chance due to concealment.<br>Evil: To earn evil approval, you must damage a flat-footed foe, hit a foe you’re flanking, or confirm a critical hit. You gain fire resistance, and your attacks deal an amount of bleed damage equal to half your level.<br>Good: To earn good approval, you must heal another creature or deal nonlethal damage to a foe using an ability that has no additional effects beyond nonlethal damage. You gain electricity resistance and a +2 bonus on your saving throws.<br>Lawful: To earn lawful approval, you must perform the aid another action for an ally whose level is equal to or greater than your own, or you must benefit from the aid another action from such an ally. You gain cold resistance and the benefits of the light fortification armor special ability.<br>Neutral: To earn neutral approval, you must succeed at a saving throw prompted by a source with a CR of at least half your level. You gain resistance to any one energy type (your choice) and a +2 bonus on skill checks.<br>If your mentor is killed or imprisoned, you lose the benefits of this feat and any feats for which it is a prerequisite. When you gain a level, you can secure a new mentor by performing a ritual that takes 8 hours and expends components worth 200 gp × the new mentor’s Hit Dice.		At the GM’s discretion, a PC can select an outsider of any alignment. This represents a relationship in which the outsider is attempting to corrupt, redeem, or otherwise influence the PC.			https://aonprd.com/FeatDisplay.aspx?ItemName=Planar%20Mentor
Planar Preservationist		Ultimate Magic pg. 154	You know how to preserve and reconstitute extraplanar monsters as well as normal animals.	Preservationist alchemist archetype.	For every summon nature’s ally extract you know, you learn the equivalent summon monster spell as an extract. If you later learn other summon nature’s ally extracts, you automatically learn the equivalent summon monster spell as an extract.					https://aonprd.com/FeatDisplay.aspx?ItemName=Planar%20Preservationist
Planar Sensitivity		Pathfinder #105: The Inferno Gate pg. 64	You can sense and manipulate connections between the planes.	Knowledge (planes) 3 ranks.	You gain access to the gatefinder and gatekeeper skill unlocks (see below).		Sentient outsiders who have one or more ranks in Knowledge (planes) and who lack the native subtype are treated as having this feat.			https://aonprd.com/FeatDisplay.aspx?ItemName=Planar%20Sensitivity
Planar Survivor		Planar Adventures pg. 31	Your study of the nature and hazards of a diverse array of planes has prepared you for their dangers.	Knowledge (planes) 3 ranks, Survival 3 ranks.	You gain a +2 bonus on Survival checks on planes other than the Material Plane and a +2 bonus on saving throws against hazards encountered in such environments. If you have 10 or more ranks in Survival, the bonus on Survival checks increases to +4. This bonus does not stack with the bonus granted by the Self-Sufficient feat.					https://aonprd.com/FeatDisplay.aspx?ItemName=Planar%20Survivor
Planar Traveler	Story	Quests and Campaigns pg. 12	The confines of the Material Plane cannot sate your<br>wanderlust, and you walk between alternate spheres of<br>reality unhindered.	You must be related to an outsider or have<br>been born on a plane other than the Material Plane.	You gain a +2 bonus on Survival checks when<br>outside your home plane. You can identify portals and<br>other planar connections as well as where they lead by<br>sight or touch with a successful DC 20 Perception check.					https://aonprd.com/FeatDisplay.aspx?ItemName=Planar%20Traveler
Planar Wanderer		Ultimate Intrigue pg. 88	Your knowledge of the planes and teleportation allows you to travel with more precision.	Cartogramancer, Knowledge (geography) 10 ranks, Knowledge (planes) 10 ranks, ability to cast greater teleport and plane shift.	When researching a plane to which you intend to plane shift, you can attempt a DC 25 Knowledge (planes) check as you cast the spell. If you succeed at the check, you’re able to more precisely target your planar transport, allowing you to arrive 5d20 miles away from your intended destination instead of 5d% miles away. If you exceed the DC by 10 or more, you arrive 5d10 miles away instead, and if you exceed the DC by 20 or more, you arrive 5d6 miles away.					https://aonprd.com/FeatDisplay.aspx?ItemName=Planar%20Wanderer
Planar Wild Shape		Ultimate Combat pg. 113	You can infuse your wild shape with planar strength.	Wild shape class feature, Knowledge (planes) 5 ranks.	When you use wild shape to take the form of an animal, you can expend an additional daily use of your wild shape class feature to add the celestial template or fiendish template to your animal form. (Good druids must use the celestial template, while evil druids must use the fiendish template.) If your form has the celestial template and you score a critical threat against an evil creature while using your form’s natural weapons, you gain a +2 bonus on the attack roll to confirm the critical hit. The same bonus applies if your form has the fiendish template and you score a critical threat against a good creature.					https://aonprd.com/FeatDisplay.aspx?ItemName=Planar%20Wild%20Shape
Planned Spontaneity		Pathfinder Society Primer pg. 13	You have a measure of flexibility when preparing spells.	Knowledge (arcana) 9 ranks, ability to<br>prepare and cast 4th-level spells.	Once per day when you prepare spells, you can<br>designate one spell slot from each of up to three different<br>spell levels that are lower than the highest-level spell that<br>you can cast. In each designated slot you can memorize two<br>different spells of the respective level. You can cast either<br>spell as normal, but when you do, the spell consumes both of<br>the spells prepared in that spell slot.		A wizard can select this feat as one of his<br>bonus feats.			https://aonprd.com/FeatDisplay.aspx?ItemName=Planned%20Spontaneity
Play to the Crowd		Ultimate Intrigue pg. 88	You can glean the interests of others and use that information to strengthen your rhetoric.	Int 19, Ironclad Logic, Diplomacy 5 ranks, Sense Motive 5 ranks.	When you use Diplomacy to change the attitude of a character, you can first attempt a Sense Motive check against that NPC to get a hunch to determine whether the character is under the influence of an enchantment, to use Sense Assumptions, or to determine biases for a verbal duel. If you succeed at the Sense Motive check, you gain a +2 bonus on the Diplomacy check, and if you learned any biases for a verbal duel, you learn one additional bias of your choice. You do not worsen an NPC’s attitude if you fail a Diplomacy check by 5 or more.					https://aonprd.com/FeatDisplay.aspx?ItemName=Play%20to%20the%20Crowd
Poison Focus		Alchemy Manual pg. 8	You know the secrets of creating especially vicious poisons.	Craft (alchemy) 1 rank.	The save DC of any poison you craft with Craft (alchemy) and any spells you cast with the poison descriptor (Pathfinder RPG Ultimate Magic 138) increases by 1. This bonus doesn’t stack with the bonus granted by Spell Focus.					https://aonprd.com/FeatDisplay.aspx?ItemName=Poison%20Focus
Poison Resin		Potions and Poisons pg. 4	The toxic slime from your skin hardens into a thick, venomous resin that you can craft into various shapes.	Grippli, toxic skin alternate racial trait.	As a standard action, you can spend a use of your toxic skin alternate racial trait to create any simple light weapon out of your hardened secretions. This weapon remains intact and usable for 1 hour. Once per minute when making an attack, you can treat this weapon as if you had applied your grippli racial poison to it. You can use this envenoming function a number of times per day equal to your Constitution modifier for any individual weapon created. Anyone other than you who attempts to wield the weapon is exposed to your poison.					https://aonprd.com/FeatDisplay.aspx?ItemName=Poison%20Resin
Poison Shot Deed	Grit	Dirty Tactics Toolbox pg. 9	You can specially prepare bullets to deliver poisons that are normally used more subtly.	Amateur GunslingerUC or gritUC class feature.	You can spend 1 grit point to load your firearm with 1 dose of inhaled or ingested poison as a move action. This action has no chance of exposing you to the poison (as if you had the poison use class feature). Shooting a firearm loaded with a poison in this manner is a standard action that provokes attacks of opportunity and sprays out the poison in a 15-foot cone. Any creatures caught in the blast take no damage but are exposed to this poison and must each immediately attempt a save against the poison as though the onset time had elapsed.					https://aonprd.com/FeatDisplay.aspx?ItemName=Poison%20Shot%20Deed
Polytheistic Blessing		Tombs of Golarion pg. 63	You are granted a small bit of divine power as a result of your veneration of a pantheon of deities.	Wis 13, must worship a pantheon.	When you take this feat, select a pantheon from the list below. You gain the listed spell-like ability for your selected pantheon, usable once per day. If the granted spell allows a saving throw, the DC is equal to 10 + 1/2 your character level + your Charisma modifier.		If you act out of line with the tenets of your pantheon’s beliefs, you lose the ability to cast the granted spell-like ability until you have received an atonement for your transgression (as a cleric attempting to regain lost class abilities).			https://aonprd.com/FeatDisplay.aspx?ItemName=Polytheistic%20Blessing
Pommel Strike Deed	Panache	Advanced Class Guide pg. 153	With a surprise swipe with your pommel, you can topple a foe.	Amateur Swashbuckler or panache class feature; base attack bonus +3.	You can spend 1 panache point to make a melee attack with the pommel of a light or one-handed piercing melee weapon as a standard action. You make this attack as if you were using the weapon normally (including any bonuses gained from the swashbuckler’s finesse class feature, Weapon Finesse, or other similar feats and effects), but you deal 1d6 bludgeoning damage (or 1d4 if you are Small) instead of the weapon’s normal damage. Regardless of your size, the critical threat range and critical multiplier of this attack are 20/×2, and they are not affected by Improved Critical, the keen weapon special ability, or similar effects. If the attack hits, you can attempt a combat maneuver check to knock the target prone as a free action.					https://aonprd.com/FeatDisplay.aspx?ItemName=Pommel%20Strike%20Deed
Poppet Familiar		Adventurer's Armory 2 pg. 31	You may select a poppet as your familiar.	Ability to acquire a new familiar, caster level 3rd.	You can choose a standard Tiny poppet that you control as your familiar. This poppet cannot have any existing augmentations. You absorb the poppet’s token harmlessly into your body, making it impossible for you to transfer control of the poppet thereafter. A poppet familiar uses the rules for regular familiars, with the following exceptions: its type does not change, and it does not gain the ability to speak with others of its kind. The poppet’s Wisdom score increases to match its Intelligence score and it can speak and understand one language chosen by you at the time you select the poppet as your familiar. A poppet familiar has Craft, Perception, Profession, and Stealth as class skills. A poppet familiar cannot receive augmentations from crafting, but its connection to you allows it to spontaneously generate augmentations of your choice as you increase in level.<br>If your caster level is 5th or higher, your poppet familiar either becomes Small in size or gains two augmentations of your choice. You do not need to meet the requirements (or pay the construction cost) to craft these augmentations. At caster level 7th, and every 2 caster levels thereafter, your poppet familiar gains an additional augmentation of your choice.<br>If your caster level is 7th or higher, your poppet familiar gains the ability to generate spray of splinters as a breath weapon that deals 1d6 points of piercing damage in a 15-foot cone. At caster level 9th and every 2 caster levels thereafter, the damage increases by 1d6 (to a maximum> of 7d6 at 19th level). A poppet can use this breath weapon three times per day.<br>If your poppet familiar is lost or destroyed, you can replace it with another standard Tiny poppet that you control by undertaking a ritual that takes 8 hours to complete. If your previous poppet familiar was Small or had gained augmentations, you can choose different augmentations for your new poppet familiar.					https://aonprd.com/FeatDisplay.aspx?ItemName=Poppet%20Familiar
Possess Creature	Monster	Pathfinder #28: The Infernal Syndrome pg. 57	A fiend gains the ability to merge its physical form with another creature's body, spreading its foul influence from within a living vessel.	Cha 20, any evil outsider with 10 or more Hit Dice.	Once per day, as a full-round action, a fiend can discorporate into a malign presence and target a creature within 15 feet. The creature targeted must succeed at a Will save equal to 10 + half the fiend's Hit Dice + the fiend's Charisma modifier or be possessed (see below). Targets under the effects of protection from evil, or related spells, gain a bonus to this save. Should a target succeed at its Will save, the fiend is forced back into its natural form and is stunned for 1 round.<br>A fiend that successfully possesses a target enters its space and merges with it. While possessing a creature or object, a fiend's body and abilities are unavailable. Once a fiend merges with its target it cannot be harmed until it leaves or is forcibly removed. While possessing a target, a fiend shares the senses of its host and can communicate with it telepathically. A fiend also gains a number of possession points per day equal to its total Hit Dice. These points can be spent to utilize special bodily possession actions detailed on the following pages. A fiend may expend these points as it pleases, with each possession action taking a full-round action.<br>Each day, the victim of a possession is allowed a new Will save at the original DC to force the possessing fiend to leave its body—objects and areas do not receive daily saves. Should a victim make this save or be killed, the fiend is ejected, retakes its original form in an adjacent space, and is stunned for 1 round. A fiend may not possess a new target for 24 hours after being ejected from a victim. Dispel evil (or dispel chaos or dispel law, depending on the fiend) can eject a fiend, but the caster must succeed at a caster level check with a DC equal to 10 + the HD of the possessing fiend + the fiend's Cha modifier. Banishment and dismissal immediately eject a fiend from a target if it fails to save against the spell.					https://aonprd.com/FeatDisplay.aspx?ItemName=Possess%20Creature
Possess Location	Monster	Pathfinder #28: The Infernal Syndrome pg. 57	A fiend learns to disperse its essence over an area, gaining mastery over features and structures there and tainting the place with its wickedness.	Cha 16, any evil outsider with 8 or more Hit Dice.	Once per day, as a full-round action, a fiend may attempt to possess a structure or small area (like a pool, grove, or ruin) of a diameter equal to 10 feet per Hit Die. This area is spherical, so a fiend possessing a particularly large structure might only have power over a certain number of rooms. An area receives no save against fiendish possession unless creatures or magical items occupy the space, in which case the area makes a Will save equal to 10 + half the fiend's Hit Dice + the fiend's Charisma modifier using the stats of the occupant with the highest Will save. An area within the effects of a hallow spell cannot be possessed. A fiend possessing an area operates similarly to one using the Possess Creature feat, except that locations do not receive daily saves to escape the fiend's influence and the fiend's possession points can only be spent on location possession actions.<br>Should a possessed location be destroyed, the fiend is ejected, retakes its original form in a space adjacent to the area it previously possessed, and is stunned for 1 round. Dispel evil (or dispel chaos or dispel law, depending on the fiend) can eject a fiend, but the caster must succeed at a caster level check with a DC equal to 10 + the HD of the possessing fiend + the fiend's Cha modifier. Banishment and dismissal immediately eject a fiend from an object if it fails to make its saving throw against the spell's effects.					https://aonprd.com/FeatDisplay.aspx?ItemName=Possess%20Location
Possess Object	Monster	Pathfinder #28: The Infernal Syndrome pg. 58	A fiend gains the power to bind its malign essence to a single object, corrupting it into a relic of undeniable evil.	Cha 18, any evil outsider with 9 or more Hit Dice.	Once per day, as a full-round action, a fiend can possess a Large or smaller object. Unattended, a mundane object receives no saving throw against possession, while an attended object uses its owner's saving throw to make a Will save equal to 10 + half the fiend's Hit Dice + the fiend's Charisma modifier. Magic items save as if they were subject to a spell. Items within the area of effect of a hallow spell cannot be possessed. This effect is similar to that detailed in the Possess Creature feat, except that objects do not receive a daily save to escape the fiend's influence and the fiend's possession points can only be spent on object-possession actions.<br>Should a possessed object be destroyed, the fiend is ejected, retakes its original form in an adjacent space, and is stunned for 1 round. Dispel evil (or dispel chaos or dispel law, depending on the fiend) can eject a fiend, but the caster must succeed at a caster level check with a DC equal to 10 + the HD of the possessing fiend + the fiend's Cha modifier. Banishment and dismissal immediately eject a fiend from an object if it fails to make its saving throw against the spell's effects.					https://aonprd.com/FeatDisplay.aspx?ItemName=Possess%20Object
Possessed Hand		Haunted Heroes Handbook pg. 25	You’ve made a peaceful and permanent bargain with a ghost, spirit, or outsider. It possesses your hand, guiding and aiding you in exchange for help in return.		You attract a ghost, spirit, or outsider with personal motivations to possess your hand. This usually involves some sort of mutually beneficial pact or agreement. Your possessed hand helps you in numerous ways, but its periodic, uncontrolled antics are distracting; you take a permanent –2 penalty on concentration checks once you gain this feat.<br>Any attack you make with a one-handed weapon, light weapon, unarmed strike, or natural attack with your possessed hand gains a +1 insight bonus on the attack roll and damage roll. You also gain a +1 insight bonus on Disable Device and Sleight of Hand checks. Once per day as a swift action, you can retrieve any stowed object you carry on your person, provided the object weighs no more than 5 pounds.					https://aonprd.com/FeatDisplay.aspx?ItemName=Possessed%20Hand
Potent Holy Symbol		Blood of the Night pg. 28	In your pious hands, your holy symbol is a shining light of faith.	Good alignment, worshiper of a good deity.	Any round in which you use your holy symbol as a divine focus for the casting of a spell or to channel positive energy, you count as presenting a holy symbol, chanting prayers, or ringing a hand bell for the purpose of keeping vampires at bay.					https://aonprd.com/FeatDisplay.aspx?ItemName=Potent%20Holy%20Symbol
Potion Glutton		Inner Sea Gods pg. 215	You gulp down potions with unsettling speed.	Worshiper of Urgathoa.	You can drink potions, elixirs, or other potables (but not extracts) as a move action without provoking an attack of opportunity.	Drinking potions is a standard action that provokes an attack of opportunity.				https://aonprd.com/FeatDisplay.aspx?ItemName=Potion%20Glutton
Powerful Poisoning		Dirty Tactics Toolbox pg. 6	You can make powerful attacks that place more of your weapon’s poison into a target’s wounds.	Power Attack; Craft (poison) 3 ranks or poison use class feature.	When you damage an opponent with a Power Attack while using a poisoned weapon, you can forgo the bonus damage from Power Attack to increase the save DC of the poison by 1. When your base attack bonus reaches +4, and every +4 thereafter, the bonus to the poison’s save DC increases by an additional 1. This can’t cause the save DC to exceed 15 + 1/2 your character level.					https://aonprd.com/FeatDisplay.aspx?ItemName=Powerful%20Poisoning
Powerful Shape		Ultimate Magic pg. 154	Your wild shapes are mighty and muscular.	Wild shape class feature, druid level 8th.	When in wild shape, treat your size as one category larger for the purpose of calculating CMB, CMD, carrying capacity, and any size-based special attacks you use or that are used against you (such as grab, swallow whole, and trample).			The forms you take in wild shape tower over their natural counterparts.<br>Prerequisites: Powerful ShapeUM.<br>Benefit: You can apply the giant simple template (quick rules version, from Pathfinder RPG Bestiary 295) to any form you take with wild shape. This replaces the benefit from Powerful Shape.<br>As a free action, you can expend one use of mythic power to combine the benefit from this feat with the benefit from non-mythic Powerful Shape for a number of rounds equal to your tier.		https://aonprd.com/FeatDisplay.aspx?ItemName=Powerful%20Shape
Powerful Tongue		Monster Codex pg. 8	Unlike others of your kind, you are able to pull your prey toward yourself.	Str 17, sticky tongue.	Your tongue attack gains the pull special ability. At the start of your turn, if your tongue is attached to a target of your size or smaller and you succeed at a combat maneuver check, you can pull the target 5 feet closer to you as free action.					https://aonprd.com/FeatDisplay.aspx?ItemName=Powerful%20Tongue
Practiced Dreamer		Plane-Hopper's Handbook pg. 30	Your time in the Dimension of Dreams has improved your ability to manipulate its landscape.	Cha 15, Lucid Dreamer, Knowledge (planes) 5 ranks.	Once per day, you can reroll a failed attempt to perform an impossible action, such as casting a spell you can’t normally cast, gaining an effect of a spell as if it had been cast, or conjuring a magic item. You also gain an additional +2 bonus on Charisma checks to determine your initial condition when entering a dream with your lucid body.					https://aonprd.com/FeatDisplay.aspx?ItemName=Practiced%20Dreamer
Practiced Leadership		Champions of Balance pg. 15	When you and your cohort are both members of the same organization, you needn’t shoulder the burden of leadership alone. By relying on the authority of your shared organization as well as your own leadership skills, your cohort demonstrates improved devotion and tactical acumen.	Leadership, membership in the same organization as your cohort.	As long as you and your cohort maintain membership in good standing within the same organization, your cohort gains a +4 morale bonus on Will saves against enchantment spells and effects. Additionally, your cohort is treated as though she possessed the same teamwork feats you do for the purpose of determining whether you receive a bonus from your teamwork feats. Your cohort doesn’t receive any bonuses from these feats unless she actually possesses the feats.<br>If you and your cohort belong to one of the organizations listed in this section, your cohort gains the practiced leadership benefit associated with your organization. If a benefit grants your cohort access to a spell-like ability, the caster level of the effect is 1st or equal to your cohort’s caster level, whichever is higher.					https://aonprd.com/FeatDisplay.aspx?ItemName=Practiced%20Leadership
Practiced Ritualist		Magic Tactics Toolbox pg. 5	You are an experienced leader among ritual casters.	Knowledge (arcana, history, planes, and religion) 1 rank.	You gain a +2 bonus on skill checks to perform occult rituals, and on Intelligence checks to learn the method of casting an occult ritual (Pathfinder RPG Occult Adventures 208). If you are a ritual’s primary caster, the DC for saving throws against the ritual’s effects is 2 higher. If the ritual has a minimum number of required secondary casters, that number is decreased by 1.					https://aonprd.com/FeatDisplay.aspx?ItemName=Practiced%20Ritualist
Practiced Tactician		Advanced Player's Guide pg. 167	With only a few quick gestures and commands, you can direct others in combat.	Tactician class feature.	You can use your tactician ability to grant allies a teamwork feat one additional time per day.		You can gain Practiced Tactician multiple times. Its effects stack.			https://aonprd.com/FeatDisplay.aspx?ItemName=Practiced%20Tactician
Precocious Youth		Quests and Campaigns pg. 27	Even in youth, you seek to be more adult than your<br>childish peers, a personal trait that will no doubt aid you<br>in future years.	Young age category.	You lose one of the penalties associated<br>with the young age category, either –2 Constitution, –2<br>Strength, or –2 Wisdom. Upon reaching adulthood you<br>may exchange this feat for Great Fortitude, Iron Will, or<br>Lightning Reflexes.		You may take this feat up to three times. Each<br>time you do, it affects a different penalty and must be<br>exchanged for a different feat upon reaching adulthood.			https://aonprd.com/FeatDisplay.aspx?ItemName=Precocious%20Youth
Preferred Spell		Advanced Player's Guide pg. 167	You find it very easy to cast one particular spell.	Spellcraft 5 ranks, Heighten Spell.	Choose one spell which you have the ability to cast. You can cast that spell spontaneously by sacrificing a prepared spell or spell slot of equal or higher level. You can apply any metamagic feats you possess to this spell when you cast it. This increases the minimum level of the prepared spell or spell slot you must sacrifice in order to cast it but does not affect the casting time.		You can gain this feat multiple times. Its effects do not stack. Each time you take the feat, it applies to a different spell.			https://aonprd.com/FeatDisplay.aspx?ItemName=Preferred%20Spell
Pressure Adept		Aquatic Adventures pg. 58	You’ve spent so much time at unusual pressures that you’ve extended your native range beyond the norms of your species.	Swim 5 ranks.	Add one oceanic zone to your native range when calculating pressure (meaning that you don’t take pressure damage in that range unless instantaneously transported up or down, and even then you adapt to the change all at once rather than 100 feet at a time). Surfacedwellers taking this feat must select the sunlight zone, and aquatic creatures can select any zone either directly above or directly below their native range.					https://aonprd.com/FeatDisplay.aspx?ItemName=Pressure%20Adept
Prestigious Spellcaster		Paths of the Righteous pg. 3	The transition into a spellcasting prestige class is less difficult for you, and because of this, you gain 1 additional effective spellcaster level from your prestige class levels.	Favored Prestige Class with selected prestige class.	The first time you gain a level in your favored prestige class and the spells per day class feature does not grant an increase in effective level for the purpose of casting spells, you gain new spells per day as if the prestige class did grant +1 level of spellcasting for that level. This effect is retroactive if you gain this feat at a level beyond the point where your favored prestige class would normally have not advanced your spellcasting.<br>The Prestigious Spellcaster feat does not have any effect if your favored prestige class does not have the spells per day class feature, or if it does have the spells per day class feature but already grants a level increase for every level of the prestige class (as do the arcane trickster and loremaster prestige classes).	You can select the Prestigious Spellcaster feat multiple times. Each time you select the Prestigious Spellcaster feat, your effective caster level increases by 1. However, regardless of the number of times you choose this feat, the total increase to your effective caster level cannot exceed your actual prestige class level.<br>This feat also applies to prestige classes that grant extracts per day instead of spells per day.				https://aonprd.com/FeatDisplay.aspx?ItemName=Prestigious%20Spellcaster
Primal Ancestry		Andoran, Birthplace of Freedom pg. 34	You have a deep connection to the primal First World and can channel this link into powerful effects once a day.	Wis 13, member of the Primordial Ones	Once per day as a move action, you can tap into the essence of the First World, and gain DR 5/cold iron for 1 minute. If you have 11 or more Hit Dice, this increases to DR 10/cold iron. Additionally, while under this effect, enchantment spells you cast gain a +1 bonus to caster level.					https://aonprd.com/FeatDisplay.aspx?ItemName=Primal%20Ancestry
Primal Kineticist		People of the Wastes pg. 6	When primal magic surrounds you, you can channel it to transform the nature of your kinetic blasts.	Kineticist level 1st.	When using a simple kinetic blast in an area where primal magic is either predominant or very common, you can accept 1 point of burn to cause your blast to become one of the following simple blasts instead. Roll 1d10 to determine the simple blast: 1 = air, 2 = cold, 3 = earth, 4 = electric, 5 = fire, 6 = gravity, 7 = negative, 8 = telekinetic, 9 = water, 10 = wood. You can apply any of your form or substance infusions that are allowed as choices for the random blast, accepting the typical burn cost.					https://aonprd.com/FeatDisplay.aspx?ItemName=Primal%20Kineticist
Prodigy		Ultimate Magic pg. 154	You are naturally skilled at arts, professions, and the acquisition of knowledge.		Choose two Craft, Perform, or Profession skills in any combination (two Craft skills, a Craft skill and a Perform skill, and so on). You receive a +2 bonus on checks with these skills. If you have 10 or more ranks in any one of these skills, the bonus increases to +4 for that skill.		You can gain this feat multiple times. Its effects do not stack. Each time you take the feat, it applies to two new skills.			https://aonprd.com/FeatDisplay.aspx?ItemName=Prodigy
Profane Studies		Horror Adventures pg. 91	Your study of fiends grants you advantages when summoning or fighting them.	Int 13, Knowledge (planes) 4 ranks, ability to cast a summon monster spell.	You gain a +5 bonus on Knowledge (planes) checks involving evil outsiders. Additionally, when you cast a summon monster spell to summon an evil outsider, treat your caster level as 2 levels higher for the purpose of determining the duration.					https://aonprd.com/FeatDisplay.aspx?ItemName=Profane%20Studies
