name	school	subschool	descriptors	level	casting_time	components	range	target	area	effect	duration	saving_throw	spell_resistance	description	mythic	source	url
Ascension	universal			arcanist 9, cleric 9, druid 9, oracle 9, psychic 9, sorcerer 9, witch 9, wizard 9	1 hour	V, S, F (minor artifact), M (10,000 gp in rare herbs, gems, and other exotic materials)	close (25 ft. + 5 ft./2 levels)	one non-mythic creature/3 levels			2 hours/level; see text	Will negates (harmless);	yes (harmless)	You imbue a number of creatures with mythic power, granting each of them 1st tier in a mythic path of its choice. The creatures immediately gain the benefits of their chosen paths. Divide the duration evenly among all targets.<br>The targets retain their mythic tier only while they’re within 100 feet of the spell’s focus component. A target that goes outside this range loses its mythic tier, but instantly regains it if it moves into range again. If the focus component is destroyed while the spell is in effect, the spell immediately ends and all targets gain 1d4 permanent negative levels.	Source Mythic Adventures pg. 113<br>If you expend one use of mythic power when casting this spell, the duration increases to 1 day per level, and you can use yourself as the focus for this spell instead of a lesser artifact. If you’re the focus, the targets retain their mythic tier only while they’re within 100 feet of you, and if you die, the spell immediately ends and all targets gain 1d4 permanent negative levels.	Mythic Adventures pg. 113	https://aonprd.com/SpellDisplay.aspx?ItemName=Ascension
Baleful Polymorph	transmutation	polymorph		adept 5, arcanist 5, druid 5, hunter 5, magus 5, shaman 5, sorcerer 5, summoner 4, summoner (unchained) 5, witch 5, wizard 5	1 standard action	V, S	close (25 ft. + 5 ft./2 levels)	one creature			permanent	Fortitude negates, Will partial, see text;	yes	As beast shape III, except that you change the subject into a Small or smaller animal of no more than 1 HD. If the new form would prove fatal to the creature, such as an aquatic creature not in water, the subject gets a +4 bonus on the save.<br>If the spell succeeds, the subject must also make a Will save. If this second save fails, the creature loses its extraordinary, supernatural, and spell-like abilities, loses its ability to cast spells (if it had the ability), and gains the alignment, special abilities, and Intelligence, Wisdom, and Charisma scores of its new form in place of its own. It still retains its class and level (or HD), as well as all benefits deriving therefrom (such as base attack bonus, base save bonuses, and hit points). It retains any class features (other than spellcasting) that aren't extraordinary, supernatural, or spell-like abilities.<br>Any polymorph effects on the target are automatically dispelled when a target fails to resist the effects of baleful polymorph, and as long as baleful polymorph remains in effect, the target cannot use other polymorph spells or effects to assume a new form. Incorporeal or gaseous creatures are immune to baleful polymorph, and a creature with the shapechanger subtype can revert to its natural form as a standard action.	Source Mythic Adventures pg. 84<br>The saving throw changes to Fortitude (partial) and Will (partial). A creature that fails the Fortitude save automatically fails the Will save. A target with the shapechanger subtype that fails its save can’t use its shapechanging to shift out of its new form. A creature that succeeds at the Fortitude save is partially transformed into the intended animal. For 1 minute per level, it takes on cosmetic features appropriate to that animal and becomes one size category closer to the animal’s size.<br>Augmented (9th): If you expend four uses of mythic power, the spell affects all other creatures with 8 Hit Dice or fewer in a 1-mile radius. Affected creatures transform into Small or smaller animals appropriate to the local environment. You can select a number of creatures up to your tier to not be affected.	PRPG Core Rulebook pg. 246	https://aonprd.com/SpellDisplay.aspx?ItemName=Baleful%20Polymorph
Bane	enchantment	compulsion	emotion, fear, mind-affecting	antipaladin 1, cleric 1, inquisitor 1, mesmerist 1, oracle 1, shaman 1, warpriest 1	1 standard action	V, S, DF	50 ft.		50-ft.-radius burst, centered on you		1 min./level	Will negates;	yes	Bane fills your enemies with fear and doubt. Each affected creature takes a –1 penalty on attack rolls and a –1 penalty on saving throws against fear effects. Bane counters and dispels bless.	Source Mythic Adventures pg. 85<br>The –1 penalty applies on attack rolls, weapon damage rolls, and all saving throws. Each affected creature must roll its next attack roll or saving throw twice and take the lower result.	PRPG Core Rulebook pg. 246	https://aonprd.com/SpellDisplay.aspx?ItemName=Bane
Barkskin	transmutation			alchemist 2, druid 2, hunter 2, investigator 2, ranger 2, shaman 2, summoner 2, summoner (unchained) 2	1 standard action	V, S, DF	touch	living creature touched			10 min./level	none;	yes (harmless)	Barkskin toughens a creature's skin. The effect grants a +2 enhancement bonus to the creature's existing natural armor bonus. This enhancement bonus increases by 1 for every three caster levels above 3rd, to a maximum of +5 at 12th level.<br>The enhancement bonus provided by barkskin stacks with the target's natural armor bonus, but not with other enhancement bonuses to natural armor. A creature without natural armor has an effective natural armor bonus of +0.	Source Mythic Adventures pg. 85<br>The target also gains DR/magic equal to the double the enhancement bonus the spell provides to the target’s natural armor bonus.<br>Augmented (6th): If you expend two uses of mythic power, the spell grants DR/epic rather than DR/magic.	PRPG Core Rulebook pg. 246	https://aonprd.com/SpellDisplay.aspx?ItemName=Barkskin
Battle Trance	enchantment	compulsion	emotion, mind-affecting	alchemist 3, antipaladin 3, cleric 4, hunter 3, inquisitor 3, investigator 3, oracle 4, ranger 3, warpriest 4, witch 4 (half-orc)	1 standard action	V, S	personal	you			1 minute/level			You are transformed into a single-minded force of destruction. You gain the ferocity monster special ability, a number of temporary hit points equal to 1d6 + your caster level (maximum +10), and a +4 morale bonus on saving throws against mind-affecting effects. You cannot use the withdraw action or willingly move away from a creature that has attacked you.<br>When you use this spell, you immediately take 4 points of Intelligence damage. You must make a DC 20 concentration check to cast spells, and all other concentration checks to cast spells have a –5 penalty.	Source Mythic Adventures pg. 85<br>The number of temporary hit points you gain increases to 2d6 + your caster level (maximum +10) + your tier. The morale bonus on saving throws against mind-affecting effects increases to +6.<br>Augmented (5th): If you expend two uses of mythic power, you gain a +4 morale bonus to Strength, immunity to nonmythic mind-affecting effects, and DR 5/epic.	Advanced Race Guide pg. 58	https://aonprd.com/SpellDisplay.aspx?ItemName=Battle%20Trance
Battlemind Link	divination		mind-affecting	arcanist 6, inquisitor 4, medium 4, mesmerist 4, occultist 5, psychic 6, sorcerer 6, wizard 6	1 standard action	V, S	personal and close (25 ft. + 5 ft./2 levels)	you and 1 ally			1 minute/level	Will negates (harmless);	yes (harmless)	You fuse your thoughts with an ally’s, allowing the two of you to fight in tandem, perfectly coordinated. You and the ally each roll initiative in combat and use the higher die result before adding modifiers. This has three effects.<br>Melee: If you both make melee attacks against the same creature, you both make attack rolls and both use the higher of the two dice for your attack rolls (plus bonuses).<br>Ranged: If you both make ranged attacks against the same creature, you both make attack rolls and both use the higher of the two dice for your attack roll (plus bonuses).<br>Spell: If you both cast spells and target the same area or same creature, affected creatures take a –2 penalty on their saving throw against the spells.<br>You and the target lose these benefits if you cannot see each other or if you or the target is unconscious or helpless.	Source Mythic Adventures pg. 85<br>When you cast this spell, if your linked ally uses a mythic path ability against a creature, you can use the same path ability against that creature as if you had it yourself, and your linked ally can likewise use any path abilities you use against a creature (even if that ally isn’t mythic). For example, if you’re a champion attacking a frost giant using the precision path ability, your linked ally can use your precision ability when she attacks that frost giant. If a path ability requires expending uses of mythic power or any other cost, your linked ally must expend that cost for you to use the ability.	Ultimate Magic pg. 207	https://aonprd.com/SpellDisplay.aspx?ItemName=Battlemind%20Link
Beast Shape I	transmutation	polymorph		alchemist 3, arcanist 3, bloodrager 3, investigator 3, magus 3, redmantisassassin 3, sorcerer 3, wizard 3	1 standard action	V, S, M (a piece of the creature whose form you plan to assume)	personal	you			1 min./level (D)			When you cast this spell, you can assume the form of any Small or Medium creature of the animal type. If the form you assume has any of the following abilities, you gain the listed ability: climb 30 feet, fly 30 feet (average maneuverability), swim 30 feet, darkvision 60 feet, low-light vision, and scent.<br>Small animal: If the form you take is that of a Small animal, you gain a +2 size bonus to your Dexterity and a +1 natural armor bonus.<br>Medium animal: If the form you take is that of a Medium animal, you gain a +2 size bonus to your Strength and a +2 natural armor bonus.	Source Mythic Adventures pg. 85<br>Each mythic beast shape spell must be learned individually, and you must know the respective non-mythic beast shape spell to learn its mythic version. You don’t have to learn them in order and are not required to know a lower-level mythic beast shape spell before you learn a higher-level one (for example, you can learn mythic beast shape II if you know beast shape II, even if you don’t know mythic beast shape I). Each mythic beast shape spell adds the following benefits to its respective non-mythic version.<br>The spell’s bonuses to ability scores increase by 2, the natural armor bonus increases by 1, and the ability score penalties decrease by 2 (minimum penalty of 0). Choose one natural attack type the animal form has, such as bite or claws. The critical multiplier for this attack type increases by 1 (maximum ×4).<br>Augmented (2nd): If you expend two uses of mythic power, the ability score bonuses increase by an additional 2. During each casting of the spell, a number of times equal to your tier, you can act as if you had the Natural Spell feat for 1 round. For example, if you’re 2nd tier, you can use the Natural Spell feat for 2 rounds per casting of mythic beast shape. Beast Shape II<br>Source PRPG Core Rulebook pg. 247<br>School transmutation (polymorph); Level alchemist 4, arcanist 4, bloodrager 4, investigator 4, magus 4, redmantisassassin 4, sorcerer 4, wizard 4Casting<br>Casting Time 1 standard action<br>Components V, S, M (a piece of the creature whose form you plan to assume)Effect<br>Range personal<br>Target you<br>Duration 1 min./level (D)Description<br>This spell functions as beast shape I, except that it also allows you to assume the form of a Tiny or Large creature of the animal type. If the form you assume has any of the following abilities, you gain the listed ability: climb 60 feet, fly 60 feet (good maneuverability), swim 60 feet, darkvision 60 feet, low-light vision, scent, grab, pounce, and trip.<br>Tiny animal: If the form you take is that of a Tiny animal, you gain a +4 size bonus to your Dexterity, a –2 penalty to your Strength, and a +1 natural armor bonus.<br>Large animal: If the form you take is that of a Large animal, you gain a +4 size bonus to your Strength, a –2 penalty to your Dexterity, and a +4 natural armor bonus.	PRPG Core Rulebook pg. 247	https://aonprd.com/SpellDisplay.aspx?ItemName=Beast%20Shape%20I
Beast Shape I	transmutation	polymorph		alchemist 3, arcanist 3, bloodrager 3, investigator 3, magus 3, redmantisassassin 3, sorcerer 3, wizard 3	1 standard action	V, S, M (a piece of the creature whose form you plan to assume)	personal	you			1 min./level (D)			When you cast this spell, you can assume the form of any Small or Medium creature of the animal type. If the form you assume has any of the following abilities, you gain the listed ability: climb 30 feet, fly 30 feet (average maneuverability), swim 30 feet, darkvision 60 feet, low-light vision, and scent.<br>Small animal: If the form you take is that of a Small animal, you gain a +2 size bonus to your Dexterity and a +1 natural armor bonus.<br>Medium animal: If the form you take is that of a Medium animal, you gain a +2 size bonus to your Strength and a +2 natural armor bonus.	Source Mythic Adventures pg. 85<br>Each mythic beast shape spell must be learned individually, and you must know the respective non-mythic beast shape spell to learn its mythic version. You don’t have to learn them in order and are not required to know a lower-level mythic beast shape spell before you learn a higher-level one (for example, you can learn mythic beast shape II if you know beast shape II, even if you don’t know mythic beast shape I). Each mythic beast shape spell adds the following benefits to its respective non-mythic version.<br>The spell’s bonuses to ability scores increase by 2, the natural armor bonus increases by 1, and the ability score penalties decrease by 2 (minimum penalty of 0). Choose one natural attack type the animal form has, such as bite or claws. The critical multiplier for this attack type increases by 1 (maximum ×4).<br>Augmented (2nd): If you expend two uses of mythic power, the ability score bonuses increase by an additional 2. During each casting of the spell, a number of times equal to your tier, you can act as if you had the Natural Spell feat for 1 round. For example, if you’re 2nd tier, you can use the Natural Spell feat for 2 rounds per casting of mythic beast shape. Beast Shape II<br>Source PRPG Core Rulebook pg. 247<br>School transmutation (polymorph); Level alchemist 4, arcanist 4, bloodrager 4, investigator 4, magus 4, redmantisassassin 4, sorcerer 4, wizard 4Casting<br>Casting Time 1 standard action<br>Components V, S, M (a piece of the creature whose form you plan to assume)Effect<br>Range personal<br>Target you<br>Duration 1 min./level (D)Description<br>This spell functions as beast shape I, except that it also allows you to assume the form of a Tiny or Large creature of the animal type. If the form you assume has any of the following abilities, you gain the listed ability: climb 60 feet, fly 60 feet (good maneuverability), swim 60 feet, darkvision 60 feet, low-light vision, scent, grab, pounce, and trip.<br>Tiny animal: If the form you take is that of a Tiny animal, you gain a +4 size bonus to your Dexterity, a –2 penalty to your Strength, and a +1 natural armor bonus.<br>Large animal: If the form you take is that of a Large animal, you gain a +4 size bonus to your Strength, a –2 penalty to your Dexterity, and a +4 natural armor bonus.	PRPG Core Rulebook pg. 247	https://aonprd.com/SpellDisplay.aspx?ItemName=Beast%20Shape%20I
Beast Shape I	transmutation	polymorph		alchemist 3, arcanist 3, bloodrager 3, investigator 3, magus 3, redmantisassassin 3, sorcerer 3, wizard 3	1 standard action	V, S, M (a piece of the creature whose form you plan to assume)	personal	you			1 min./level (D)			When you cast this spell, you can assume the form of any Small or Medium creature of the animal type. If the form you assume has any of the following abilities, you gain the listed ability: climb 30 feet, fly 30 feet (average maneuverability), swim 30 feet, darkvision 60 feet, low-light vision, and scent.<br>Small animal: If the form you take is that of a Small animal, you gain a +2 size bonus to your Dexterity and a +1 natural armor bonus.<br>Medium animal: If the form you take is that of a Medium animal, you gain a +2 size bonus to your Strength and a +2 natural armor bonus.	Source Mythic Adventures pg. 85<br>Each mythic beast shape spell must be learned individually, and you must know the respective non-mythic beast shape spell to learn its mythic version. You don’t have to learn them in order and are not required to know a lower-level mythic beast shape spell before you learn a higher-level one (for example, you can learn mythic beast shape II if you know beast shape II, even if you don’t know mythic beast shape I). Each mythic beast shape spell adds the following benefits to its respective non-mythic version.<br>The spell’s bonuses to ability scores increase by 2, the natural armor bonus increases by 1, and the ability score penalties decrease by 2 (minimum penalty of 0). Choose one natural attack type the animal form has, such as bite or claws. The critical multiplier for this attack type increases by 1 (maximum ×4).<br>Augmented (2nd): If you expend two uses of mythic power, the ability score bonuses increase by an additional 2. During each casting of the spell, a number of times equal to your tier, you can act as if you had the Natural Spell feat for 1 round. For example, if you’re 2nd tier, you can use the Natural Spell feat for 2 rounds per casting of mythic beast shape. Beast Shape II<br>Source PRPG Core Rulebook pg. 247<br>School transmutation (polymorph); Level alchemist 4, arcanist 4, bloodrager 4, investigator 4, magus 4, redmantisassassin 4, sorcerer 4, wizard 4Casting<br>Casting Time 1 standard action<br>Components V, S, M (a piece of the creature whose form you plan to assume)Effect<br>Range personal<br>Target you<br>Duration 1 min./level (D)Description<br>This spell functions as beast shape I, except that it also allows you to assume the form of a Tiny or Large creature of the animal type. If the form you assume has any of the following abilities, you gain the listed ability: climb 60 feet, fly 60 feet (good maneuverability), swim 60 feet, darkvision 60 feet, low-light vision, scent, grab, pounce, and trip.<br>Tiny animal: If the form you take is that of a Tiny animal, you gain a +4 size bonus to your Dexterity, a –2 penalty to your Strength, and a +1 natural armor bonus.<br>Large animal: If the form you take is that of a Large animal, you gain a +4 size bonus to your Strength, a –2 penalty to your Dexterity, and a +4 natural armor bonus.	PRPG Core Rulebook pg. 247	https://aonprd.com/SpellDisplay.aspx?ItemName=Beast%20Shape%20I
Beast Shape I	transmutation	polymorph		alchemist 3, arcanist 3, bloodrager 3, investigator 3, magus 3, redmantisassassin 3, sorcerer 3, wizard 3	1 standard action	V, S, M (a piece of the creature whose form you plan to assume)	personal	you			1 min./level (D)			When you cast this spell, you can assume the form of any Small or Medium creature of the animal type. If the form you assume has any of the following abilities, you gain the listed ability: climb 30 feet, fly 30 feet (average maneuverability), swim 30 feet, darkvision 60 feet, low-light vision, and scent.<br>Small animal: If the form you take is that of a Small animal, you gain a +2 size bonus to your Dexterity and a +1 natural armor bonus.<br>Medium animal: If the form you take is that of a Medium animal, you gain a +2 size bonus to your Strength and a +2 natural armor bonus.	Source Mythic Adventures pg. 85<br>Each mythic beast shape spell must be learned individually, and you must know the respective non-mythic beast shape spell to learn its mythic version. You don’t have to learn them in order and are not required to know a lower-level mythic beast shape spell before you learn a higher-level one (for example, you can learn mythic beast shape II if you know beast shape II, even if you don’t know mythic beast shape I). Each mythic beast shape spell adds the following benefits to its respective non-mythic version.<br>The spell’s bonuses to ability scores increase by 2, the natural armor bonus increases by 1, and the ability score penalties decrease by 2 (minimum penalty of 0). Choose one natural attack type the animal form has, such as bite or claws. The critical multiplier for this attack type increases by 1 (maximum ×4).<br>Augmented (2nd): If you expend two uses of mythic power, the ability score bonuses increase by an additional 2. During each casting of the spell, a number of times equal to your tier, you can act as if you had the Natural Spell feat for 1 round. For example, if you’re 2nd tier, you can use the Natural Spell feat for 2 rounds per casting of mythic beast shape. Beast Shape II<br>Source PRPG Core Rulebook pg. 247<br>School transmutation (polymorph); Level alchemist 4, arcanist 4, bloodrager 4, investigator 4, magus 4, redmantisassassin 4, sorcerer 4, wizard 4Casting<br>Casting Time 1 standard action<br>Components V, S, M (a piece of the creature whose form you plan to assume)Effect<br>Range personal<br>Target you<br>Duration 1 min./level (D)Description<br>This spell functions as beast shape I, except that it also allows you to assume the form of a Tiny or Large creature of the animal type. If the form you assume has any of the following abilities, you gain the listed ability: climb 60 feet, fly 60 feet (good maneuverability), swim 60 feet, darkvision 60 feet, low-light vision, scent, grab, pounce, and trip.<br>Tiny animal: If the form you take is that of a Tiny animal, you gain a +4 size bonus to your Dexterity, a –2 penalty to your Strength, and a +1 natural armor bonus.<br>Large animal: If the form you take is that of a Large animal, you gain a +4 size bonus to your Strength, a –2 penalty to your Dexterity, and a +4 natural armor bonus.	PRPG Core Rulebook pg. 247	https://aonprd.com/SpellDisplay.aspx?ItemName=Beast%20Shape%20I
Black Mark	necromancy		curse, fear	druid 7, witch 7 (human)	1 standard action	V, S, M (a flask of seawater)	touch	one creature			permanent	Will negates;	yes	You mark the target with a black marking on its skin; the mark’s exact appearance determined by you, but can be no larger than your hand. The black mark functions as a mark of justice, and when the mark is activated, the target becomes shaken anytime it is on or in the water more than a 5 feet from shore. In addition, as long as the black mark is active, the target is affected as if subject to nature’s exile, but all creatures with the aquatic or water subtype or with a swim speed are made hostile, even those not of the animal type, though non-aquatic animals are not.	Source Mythic Adventures pg. 85<br>Any time the cursed creature travels on or in the water more than 1 mile from shore, each day it (or the vessel it’s on) is attacked by one or more aquatic or water monsters, as if summoned by summon nature’s ally VII (caster level 13th).	Advanced Race Guide pg. 69	https://aonprd.com/SpellDisplay.aspx?ItemName=Black%20Mark
