name	discipline	descriptors	display	manifesting_time	range	target_area_effect	duration	saving_throw	power_resistance	power_points	description	augment	special	mythic	source	url
Synesthete	Psychometabolism	None	Material	1 standard action	Personal	Target: You	10 min./level (D)	None	No	1	You receive one kind of sensory input when a different sense is stimulated. In particular, you can either feel light or feel sound. You can shift your stimulated sense between these two options once per round as a swift action. Your senses continue to work normally as well, unless they are impaired for some reason.<br><br>Your face must be uncovered to use this power, because it is the skin of your face that acts as the sensory receiver.<br><br>If you are feeling light by absorbing ambient light onto your skin, you have your normal visual abilities (except for darkvision), even if your eyes are closed or you are blinded. If your eyes are working normally, you gain a +4 circumstance bonus on all visual Perception checks. While feeling light, you are immune to gaze attacks.<br><br>If you are feeling sound by absorbing sound onto your skin and your ears are working normally, the expanded audio input provides you with a +4 circumstance bonus on Perception checks to listen.<br><br>Psionic or magical displacement effects, invisibility effects, illusions, and other similar effects confuse your synesthete senses just as they would your normal senses.<br><br>You can also use this power to see sound if you are deafened, or hear light if you are blinded, thus removing all penalties associated with either condition (though you gain no bonuses for using the power in this way if you are not deafened or blinded).			Mythic Synesthete<br><br>Your face need not be uncovered to use this power, so long as some portion of your skin is exposed. The exposed skin must be pointed in the direction of the light or sound to be felt.	Psionics Unleashed, pg. 147<br>Ultimate Psionics, pg. 249<br>Psionics Augmented: Mythic Psionics, pg. 57	https://metzo.miraheze.org/wiki/Synesthete
Tactical Connection	Telepathy	None	Mental	1 standard action	Close (25 ft. + 5 ft./2 levels)	Target: Yourself and up to two allies within range	1 round/level	Will negates (harmless)	Yes (harmless)	5	You connect yourself to the targets’ minds, creating a network to share teamwork feats. You and the targets can use each other’s teamwork feats as if you had all selected them.	Augment You can augment this power in one or more of the following ways:<br><br>• For every additional 4 power points you spend, you can target an additional ally.<br><br>• For every additional power point spent on this power, the duration is increased by one round.			Species Archive, Pathfinder Compatible: The Kulvix, pg. 49	https://metzo.miraheze.org/wiki/Tactical_Connection
Tactical Suppression	Telepathy	Mind-affecting<br>Network	Mental and Olfactory	Standard action	Close (25 feet + 5 feet/level)	Target: 1 creature	1 minute/level	Will negates	Yes	5	Forcing your will on an opponent, you mentally block one of their abilities from use. When you manifest this power, choose one feat, power, or skill. On a failed save, the target may not use that selected ability for the duration of this power, nor any abilities that require it as a prerequisite (if a skill is selected, treat the target as if they had no ranks in that skill). This power does not give you knowledge of what feats, powers, or skills that the target possesses; if you choose to suppress an ability that the creature does not have, the effect is wasted.	Augment:<br>For every 2 additional power points you spend, you may select another target within 15 feet of the original target and may suppress one additional ability that each target possesses. You may suppress different abilities for each target.<br><br>If you spend 6 additional power points, you learn what powers, skills, and feats the target possesses once they fail their will save. You may then choose which abilities to suppress from those that you know the target has.<br><br>If you spend 6 additional power points, you gain the benefits of any feats or skills that you suppress, as well as the ability to manifest any powers you suppress, for the duration of this power.<br><br>For every 2 power points you spend augmenting this power (including as part of other augmentations), the save DC increases by 1.			Terrors from the Id, pg. 26	https://metzo.miraheze.org/wiki/Tactical_Suppression
Tactile Telekinesis	Psychokinesis	None	Auditory, Material	1 standard action	Personal		1 min./level; see text (D)	None	No	7	While you manifest this power, you gain a +8 circumstance bonus to your Strength score to determine what your lifting and dragging capacity is or when you are making Strength checks to break objects, and you gain the rock throwing special ability while this is in effect. Additionally, you may add a +2 circumstance bonus to your attack and damage rolls.	Augment: For every additional 2 power points spent, the Strength bonus to determine your lifting and dragging capacity increases by an additional +1. For every additional 4 power points spent, the circumstance bonus to your attack and damage rolls increase by an additional +1.			Psionics Augmented: Soulknives II, pg. 13<br>Psionics Augmented: Compilation II, pg. 81	https://metzo.miraheze.org/wiki/Tactile_Telekinesis
Technique as One	Telepathy	Mind-affecting<br>Network<br>Shared	Mental	1 standard action	Close (25 ft. + 5 ft./2 levels)	Target: You plus one willing creature	1 round/level	Will negates (harmless, see text)	Yes	13	When you manifest this power, pick one feat that either you or the target has. This feat cannot be one restricted to first-level characters, nor can it have a racial prerequisite. All willing targets of this power gain this feat for the duration of the power, although they must meet all prerequisites of that feat to gain its benefits.<br><br>Feats that directly modify hit points, power points, or spells per day cannot be chosen this way. If a feat requires a specific choice, that choice is also shared.<br><br>This power does not grant you any special knowledge of the target's feats (though it is generally assumed that a willing target has filled you in on them beforehand). If your target does not actually have the feat you named, then the power fails.	Augment: You can augment this power in one or more of<br>the following ways.<br><br>• For every 2 additional power points you spend, you may share an additional feat from the same target. These feats can serve as prerequisites for other shared feats.<br><br>• If you spend 2 additional power points, the power instead removes knowledge of the feat from the target and grants it to you. Targets of the power augmented in this way may attempt a Will saving throw each round to negate the effects of this power.			Psionics Expanded: Pawns and Powers, pg. 22<br>Psionics Expanded, pg. 182<br>Ultimate Psionics, pg. 249	https://metzo.miraheze.org/wiki/Technique_as_One
Telekinetic Barrier	Psychokinesis	None	Visual	1 standard action		Target: Personal or touch<br>Area: 40 ft. radius	1 hour / level or until discharged	None	No	5 (highlord, kineticist, psychic warrior) or 7 (tactician)	You surround yourself or the target with a telekinetic barrier that slows down all incoming projectiles, draining them of their energy and force, causing them to drop to the ground when entering the aura. You and all allies inside the aura gain Damage Reduction 20/magic against all ranged projectile or thrown attacks. This power lasts until it has prevented a total of 50 points of damage.	Augment: This power may be augmented in one or both of the following ways.<br><br>• For every additional power point you spend on this power, the pool of damage before it is discharged is increased by 50.<br><br>• If you spend 2 additional power points, the damage reduction changes to 20/- instead of 20/magic.			Psionics Augmented: Feats and Powers, pg. 14	https://metzo.miraheze.org/wiki/Telekinetic_Barrier
Telekinetic Bola	Psychokinesis	None	Auditory	1 standard action	5 feet	Target: Up to three objects weighing no more than 5 pounds each	1 min./level (D)	None	No	3	A small number of items become animated, hurling about your person in a dizzying orbit, ready to act at your behest. When you manifest this power, you must choose one of two modes in which you intend it to be used. Once chosen, this choice cannot be altered until the power ends.<br><br>In either case, you cause a set of objects to spin rapidly around you, primed to either defend you, or aid in your offense. These objects move quickly enough that they do not impair your vision, nor do they provide you cover or concealment. The objects so animated remain within your square at all times and if they are removed by any means, they cease being under the control of the power.<br><br>Defensive: In this mode, the objects you animate are prepared to intercept physical attacks against you. Once per animated object per round, you can direct an object to try to block such an attack as a free action that can be taken outside of your turn. The animated item moves to intercede, providing you a +1 shield bonus against that attack. Unlike most cases, this bonus stacks with any shield bonus you have from another source.<br><br>Offensive: In this mode, the objects you animate can be used to make offensive attacks. Once per animated object per round, you can direct an object to attack a creature that is attacking you as a free action. This is resolved after the attack that you are reacting to. You make an attack roll using your base attack bonus and adding your manifesting ability bonus. If you hit, the animated object deals 1d3 points of damage. You cannot react with more than one object per attack made against you.	Augment: For every four additional power points you spend, the shield bonus granted increases by +1 or the damage dealt increases by 1d3.		Mythic Telekinetic Bola<br><br>Your shield bonus is now constant, applying to all attacks during the power’s duration. Similarly, in offensive mode the mythic telekinetic bola automatically counter-attacks after every melee attack made against you, and the damage dice increase to 1d6.	Psionics Augmented: Powers, pg. 16<br>Psionics Augmented: Compilation II, pg. 83	https://metzo.miraheze.org/wiki/Telekinetic_Bola
Telekinetic Force	Psychokinesis	Force	Visual	1 standard action	Medium (100 ft. + 10 ft./level)	Target: One or more objects or creatures with a total weight of 250 lb. or less	Concentration, up to 1 round/level, or Instantaneous; see text	Will negates (object)	Yes	5	You can use this power in one of two ways:<br><br>Move: You move an object, or even a creature, by concentrating your mind upon its current location and then the location you desire, creating a sustained force. You can move an object weighing no more than 250 pounds up to 20 feet per round. A creature can negate the effect on an object it possesses or itself with a successful Will save or with power resistance. The weight can be moved across the ground or through the air. This power ends if the object is forced out of range. If you cease concentration, the object falls or stops.<br><br>You can drop a weight and pick up another during the power's duration, as long as you don't stop concentrating on maintaining the power. An object can be telekinetically manipulated as if you were moving it with one hand.<br><br>If you spend at least 5 rounds concentrating on an unattended object, you can attempt to break or burst it as if making a Strength check, except that you apply your key ability modifier to the check instead of your Strength modifier.<br><br>If a creature succeeds on its Will save against this effect, either to prevent you moving the creature or an object in its possession, you cannot target another item in that creature's possession nor the creature itself unless you manifest the power again. If the creature fails its Will save, it may still take its normal actions, except it cannot move from its current location.<br><br>Thrust: You can affect one or more objects or creatures by concentrating your mind upon, sending them in a deadly hail at your foes—or simply by hurling your foe! You can hurl one object or creature per manifester level (maximum fifteen separate targets), as long as all are within the power's range and each is no more than 10 feet away from another one. Each object or creature can be hurled a maximum distance of 10 feet per level.<br><br>You must succeed on ranged attack rolls (one per creature or object thrown) to hit the target of the hurled items with the items, applying your key ability modifier to the attack roll instead of your Dexterity modifier. Hurled weapons deal their standard damage (your Strength bonus does not apply; arrows or bolts deal damage as daggers of their size when used in this manner). Other objects deal damage ranging from 1 point per 25 pounds of weight (for less dangerous objects such as an empty barrel) to 1d6 points per 25 pounds of weight (for hard, dense objects such as a boulder).<br><br>Creatures are allowed Will saves (and power resistance) to negate the effect, as are those whose held possessions are targeted by this power. Creatures are not allowed a Will save if an object is thrust at them through the use of this power.<br><br>If you use this power to hurl a creature against a solid surface, it takes damage as if it had fallen 10 feet (1d6 points).<br><br>If you use the thrust option of this power, the duration is instantaneous.	Augment: For every additional power point you spend, the weight limit of the target increases by 25 pounds.		Mythic Telekinetic Force<br><br>The duration of this power changes to 1 round per level. You may spend a move action to use the move effect of the power.<br><br>When using the move effect, you can move a number of objects up to your tier. These must be in the same square and together must weigh no more than the weight limit of the power. Using the thrust effect ends the power, but the weight restriction increases to 50 pounds per manifester level (maximum 750 pounds).	Psionics Unleashed, pg. 148<br>Ultimate Psionics, pgs. 249–250<br>Psionics Augmented: Mythic Psionics, pg. 57	https://metzo.miraheze.org/wiki/Telekinetic_Force
Telekinetic Maneuver (power)	Psychokinesis	Force	Visual	1 standard action	Medium (100 ft. + 10 ft./level)	Target: One creature	Concentration, up to 1 round/level	None	Yes	7	You can affect a foe by concentrating your mind upon its current status and the status you desire, once per round. You can perform a bull rush, a disarm, a grapple (including a pin), or a trip. Resolve these attempts as normal, except that they don't provoke attacks of opportunity, you use your manifester level in place of your base attack bonus, you use your key ability modifier in place of your Strength modifier or Dexterity modifier, and a failed attempt doesn't result in you being disarmed or knocked prone (if attempting a disarm or trip). No save is allowed against these attempts, but power resistance applies normally.	Augment: For every 2 additional power points you spend, this power grants a +1 bonus on your CMB.		Mythic Telekinetic Maneuver<br><br>The duration of this power changes to 1 round per level. You may spend a move action to use a combat maneuver on a target.	Psionics Unleashed, pgs. 148–149<br>Ultimate Psionics, pg. 250<br>Psionics Augmented: Mythic Psionics, pg. 57	https://metzo.miraheze.org/wiki/Telekinetic_Maneuver_(power)
Telekinetic Punch	Psychokinesis	Force	Visual	1 standard action	Close (25 ft. + 5 ft./2 levels)	Target: One creature or unattended object	Instantaneous	Will negates (object)	Yes (object)	Psionic focus or 1	You can mentally punch a creature or object from a distance. This power deals 1 point of force damage; creatures and objects in their possession are allowed a Will save to negate the effect. You cannot push anything into another square using this power.				Psionics Expanded: Master the Battle, pg. 33<br>Psionics Expanded: Unlimited Possibilities, pg. 25<br>Psionics Expanded, pg. 182<br>Ultimate Psionics, pg. 250	https://metzo.miraheze.org/wiki/Telekinetic_Punch
Telempathic Projection	Telepathy (Charm)	Mind-affecting	Visual	1 standard action	Medium (100 ft. + 10 ft./level)	Target: One creature	1 min./level	Will negates	Yes	1	You alter the subject's mood, adjusting its attitude toward you by one step in a positive direction. For instance, an unfriendly creature can be made indifferent, or a hostile creature unfriendly. You can grant a +4 bonus on your own (or others') Bluff, Diplomacy, Intimidate, Perform, or Sense Motive checks involving the affected creature.	Augment: For every 2 additional power points you spend, this power's save DC increases by 1.		Mythic Telempathic Projection<br><br>The subject's attitude toward you is improved by two steps in a positive direction.<br><br>Augmented (3rd): If you expend one use of mythic power, you can also alter the subject's attitude toward another creature by two steps in a negative direction. For instance, causing a target that's indifferent to another creature to become hostile.	Psionics Unleashed, pg. 149<br>Ultimate Psionics, pg. 250<br>Psionics Augmented: Mythic Psionics, pg. 57	https://metzo.miraheze.org/wiki/Telempathic_Projection
Telepathic Lash	Telepathy (Compulsion)	Mind-affecting	Material and mental	1 standard action	Close (25 ft. + 5 ft./2 levels)	Target: One humanoid creature that has 4 HD or less	1 round	Will negates	Yes	Psionic focus or 1	Your mind lashes out, overwhelming your target with raging emotions, flooding their mind with memories and impulses they are hard pressed to control, rendering them unable to take any actions. Humanoids of 5 or more HD are not affected. The target is dazed; a dazed subject is not stunned, so attackers get no special advantage against it. After a creature has been dazed by this power, it is immune to the effects of this power for 1 minute.	Augment: This power can be augmented in one or more of the following ways.<br><br>• For every additional power point you spend, this power can affect a target that has Hit Dice equal to 4 + the additional points.<br><br>• For every additional power point you spend, increase the duration of the effect by 1 round. If you spend 6 additional power points in this fashion, the target is instead stunned for 1 round.<br><br>Additionally, for every two additional power points spent on either of the above options, this power's save DC increases by 1.			Psionics Unleashed, pg. 149<br>Psionics Expanded, pg. 182<br>Ultimate Psionics, pg. 250	https://metzo.miraheze.org/wiki/Telepathic_Lash
Telepathic Senses	Telepathy	None	Mental	1 standard action	Close (25 ft. + 5 ft./2 levels)	Target: A sentient creature	1 round/level (D)	Will negates (harmless)	Yes	9	You share one of your senses with your target, and so does it with you. Choose one of your senses (a standard sense like sight, hearing, taste, touch, smell, or any other natural sense you possess. You can also choose pain as it falls within touch.). You and your target share each other’s perception with that sense as long as the power lasts. Each of you feels both points of view and suffers no penalty from it.<br><br>If you choose to share pain, damage dealt to you forces your target to succeed a Concentration check if it wants to cast a spell or manifest a power, just like if the damage was dealt to it, while no actual damage actually occurs. The target can also will this to occur in return.	Augment You can augment this power in one or more of the following ways:<br><br>• For every 2 additional power points you spend, you can share an additional sense with your target.<br><br>• For every 2 additional power points you spend, you can share your senses with an additional creature. You are the only one to perceive its senses, and it perceives only yours.<br><br>• If you spend 4 additional power points and share your senses with at least two targets, every target perceives what every other target perceives.<br><br>• For every 2 points you spend in any of these ways, raise the DC of the saving throw against this power by 1.			Species Archive, Pathfinder Compatible: The Kulvix, pg. 49	https://metzo.miraheze.org/wiki/Telepathic_Senses
Temporal Acceleration, Willian's	Psychoportation	None	None	1 swift action	Personal	Target: You	1 round (in apparent time); see text	None	No	11	You enter another time frame, speeding up so greatly that all other creatures seem frozen, though they are actually still moving at normal speed. You are free to act for 1 round of apparent time. You can manifest powers, cast spells, move, or perform other types of actions, subject to the restrictions outlined below.<br><br>While your temporal acceleration is in effect, other creatures are invulnerable to your attacks and powers. This means you cannot target a creature with any attack or power. However, a power you manifest that affects an area and has a duration longer than the remaining duration of your temporal acceleration has its normal effect on creatures in the area once this power ends.<br><br>You can affect an unattended object but not an object held, carried, or worn by another creature. You are undetectable by any means while your temporal acceleration lasts.<br><br>While under the effect of this power, you cannot enter an area protected by a null psionics field or by a power or spell that neutralizes high-level powers or spells. Normal and magical fire, cold, acid, and the like can still harm you.<br><br>When your temporal acceleration expires, you resume acting during your current turn in the standard time frame. You are shaken for 1 round upon your return to the standard time frame.<br><br>Splintered or partitioned minds within your own mind, such as might be in effect through the use of powers such as schism, are not temporally speeded up, even if your second mind manifested this power (your primary mind gains the benefit, while your second mind remains stuck in the standard time frame).	Augment: For every 4 additional power points you spend, this power's duration (in apparent time) increases by 1 round.		Mythic Temporal Acceleration, Willian's<br><br>Select a number of creatures equal to half your tier or fewer within close range (25 feet + 5 feet per 2 manifester levels). Mythic temporal acceleration has the same effect on these creatures as it does on you, allowing them to act for the same number of rounds of apparent time that you can. You and these creatures can all interact with one another normally while time appears to be stopped.<br><br>Augmented (10th): If you expend three uses of mythic power, the duration increases to 1 hour per level of apparent time. You and other affected creatures gain no benefit from rest or sleep while the effect is active.	Psionics Unleashed, pg. 149<br>Ultimate Psionics, pgs. 250–251<br>Psionics Augmented: Mythic Psionics, pg. 57	https://metzo.miraheze.org/wiki/Temporal_Acceleration,_Willian%27s
Temporary Awakening	Psychometabolism<br>Telepathy	Mind-affecting	Visual	10 minutes	Close (25 ft. + 5 ft./2 levels)	Target: One sentient creature without the psionic subtype	see text (D)	None	No	7	Inside everyone there is a spark that can be fanned into true power. You trigger a temporary awakening of psionic power inside a creature that had none before, temporarily sharing some of your own insights and fueling their internal power. The more powerful the target is, the more power they can contain, but their knowledge is temporary, a gift from you. Choose one 1st level power that you know, as long as this power is in effect, you cannot use the power. The target gains access to that 1st level power, gains 1 power point and a manifester level of 1, and a number of bonus power points as if his hit dice was his manifester level and his highest mental ability score was his primary manifesting ability score (which it also is for purposes of this granted power). Each morning the target can meditate to regain these power points as normal but if they ever are reduced to 0 power points, this power ends. The target can also recharge their power points from cognizance crystals as if he was a true manifester. Both the original manifester and the target can end this power as a swift action at any time.	Augment: This power may be augmented in one or both of the following ways.<br><br>• For every 2 additional power points you spend, you can choose another 1st level power you know to gift the target, but you lose access to this power for the duration of this power.<br><br>• If you spend 4 additional power points, the target gains a 2nd level power in addition to the 1st level power and has an effective manifester level of 3 for the purposes of manifesting these powers. You lose access to this 2nd level power for the duration.			Psionics Augmented: Feats and Powers, pg. 14	https://metzo.miraheze.org/wiki/Temporary_Awakening
Temporary Blindness	Psychometabolism	None	Visual, Mental	1 standard action	Close (25 ft. + 5 ft./2 levels)	Target: One target	1 round/level	Fortitude negates	Yes	1	You temporarily disconnect the body's sight from whatever processes the images in them, causing them to suffer temporary blindness. The target must make a Fortitude save or become blinded. The target can make a new save at the end of each round to remove the blindness.	Augment: This power can be augmented in one or more of the following ways.<br><br>• If you spend 2 additional power points, the duration extends to 1 minute per level. The target gets to make a new save every minute instead of every round.<br><br>• If you spend 4 additional power points, the duration extends to 1 day per level. The target gets to make a new save every day instead of every round.<br><br>• If you spend 4 additional power points, the target does not gain any additional saves if they fail the first.<br><br>• If you spend 4 additional power points, you can target one target per manifester level.<br><br>• If you spend 6 additional power points, the duration becomes Permanent instead of 1 round/lvl.<br><br>In addition, for every 2 power points you spend to augment this power, increase the DC by +1.			Psionics Augmented: Compilation II, pg. 81	https://metzo.miraheze.org/wiki/Temporary_Blindness
Thicken Skin	Psychometabolism	None	Material and olfactory	1 standard action	Personal	Target: You	10 min./level	None	No	1	Your skin or natural armor thickens and spreads across your body, increasing your natural armor bonus by +1.	Augment: You can augment this power in one or both of the following ways.<br>1. For every 3 additional power points you spend, the bonus increases by 1.<br>2. If you spend 6 additional power points, you can manifest this power as a swift action.		Mythic Thicken Skin<br><br>You also gain DR/psionic equal to the double the enhancement bonus the power provides to your natural armor bonus.<br><br>Augmented (6th): If you expend two uses of mythic power, the power grants DR/epic rather than DR/psionic.	Psionics Unleashed, pgs. 149–150<br>Ultimate Psionics, pg. 251<br>Psionics Augmented: Mythic Psionics, pg. 57	https://metzo.miraheze.org/wiki/Thicken_Skin
Thought Shield	Telepathy	Mind-affecting	Auditory	1 immediate action	Personal	Target: You	1 round	None	No	3	You fortify your mind against intrusions, gaining power resistance 13 against all mind-affecting powers.	Augment: For every additional power point you spend, this power's duration increases by 1 round, and the power resistance it provides increases by 1 point.		Mythic Thought Shield<br><br>Add your mythic tier to the power resistance gained. Once during the power's duration, you can force a reroll to overcome this power resistance.<br><br>Augmented: If you expend one use of mythic power, any creature that targets you with a mind-affecting power for the duration of mythic thought shield must make a save against the save DC of the effect targeting you (DC 12 + your key ability modifier if the effect allows no save) or be stunned for one round.	Psionics Unleashed, pg. 150<br>Ultimate Psionics, pg. 251<br>Psionics Augmented: Mythic Psionics, pg. 58	https://metzo.miraheze.org/wiki/Thought_Shield
Thundering Step	Psychoportation	Sonic	Auditory, Visual	Full-round action	Personal and one creature damaged	Target: One creature	Instantaneous; see text	None; see text	Yes	7	Manifesting this power does not provoke attacks of opportunity. As part of manifesting this power, make a single melee attack. If your attack is successful, you deal an additional +3d6 points of sonic damage and the target is dazed until the end of its next turn. Power resistance applies to the dazed effect, but does not apply to the additional damage to your attack.<br><br>After the attack, regardless of if it is successful, you can teleport up to 30 feet from your current location. Each enemy you end up adjacent to must make a Fortitude save or become dazed until the end of your next turn. Your initial target is immune to this effect if you teleport adjacent to it. Power resistance applies to this effect.				Psionics Expanded: Master the Battle, pgs. 33–34<br>Psionics Expanded, pgs. 182–183<br>Ultimate Psionics, pg. 251	https://metzo.miraheze.org/wiki/Thundering_Step
Time Hop, Mass	Psychoportation	None	Auditory and visual			Target: All willing creatures in range	Up to 1 hour/level; see text			15	As time hop, except you can affect any number of willing subjects in range, including yourself. You can choose which creatures are affected by the power. The subjects hop forward in time a number of hours equal to your manifester level, or some shorter number of hours; you decide how many hours the mass time hop lasts when you manifest the power.	Augment: If you spend 6 additional power points, you can manifest this power as an immediate action.		Mythic Time Hop, Mass<br><br>You can target unwilling creatures to be hopped forward in time, but a Will save negates the effect. Unwilling creatures get an additional save every hour to return. You may additionally affect a number of unattended objects equal to your tier, each weighing up to 300 pounds.	Psionics Unleashed, pg. 150<br>Ultimate Psionics, pg. 252<br>Psionics Augmented: Mythic Psionics, pg. 58	https://metzo.miraheze.org/wiki/Time_Hop,_Mass
Time Hop	Psychoportation	None	Auditory and visual	1 standard action	Close (25 ft. + 5 ft./2 levels)	Target: One Medium or smaller creature, or one object weighing 300 lb. or less	1 round/level; see text	Will negates	Yes	5	The subject of the power hops forward in time 1 round for every manifester level you have. In effect, the subject seems to disappear in a shimmer of silver energy, then reappear after the duration of this power expires. The subject reappears in exactly the same orientation and condition as before. From the subject's point of view, no time has passed at all.<br><br>In each round of the power's duration, on what would have been the subject's turn, it can attempt a DC 15 Wisdom check. Success allows the subject to return. The subject can act normally on its next turn after this power ends.<br><br>If the space from which the subject departed is occupied upon his return to the time stream, he appears in the closest unoccupied space, still in his original orientation. Determine the closest space randomly if necessary.	Augment: You can augment this power in one or both of the following ways.<br><br>• For every 2 additional power points you spend, you can affect a creature of one size category larger, or double the weight of an object to be affected.<br><br>• For every 2 additional power points you spend, this power can affect an additional target. Any additional target cannot be more than 15 feet from another target of the power.		Mythic Time Hop<br><br>The Wisdom DC to end the effect prematurely is increased by your mythic tier. Upon returning, the target must make a Will save or be confused for 1 round.	Psionics Unleashed, pg. 150<br>Ultimate Psionics, pgs. 251–252<br>Psionics Augmented: Mythic Psionics, pg. 58	https://metzo.miraheze.org/wiki/Time_Hop
Time Regression	Psychoportation	None	None	1 standard action	Personal	Target: You	Instantaneous	None	No	17	You can regress apparent time 1 round into the past. In effect, you "replay" the previous round of activity. The power regresses time to the point along the time stream just prior to your previous turn, undoing the effects of everyone else's actions in the meantime. Once you have used time regression, only you retain knowledge of what happened during the round that is being replayed; however, you can communicate that knowledge verbally to your companions, if desired. During the round that you live through a second time, you can act on knowledge you previously gained by already living through the immediate future. In all likelihood, you'll probably not choose to manifest time regression during your second pass through the time stream, instead taking completely new actions.<br><br>Altering the time stream in such a fashion is mentally taxing and you suffer 2 points of ability damage to Charisma, Intelligence, and Wisdom. This damage cannot be ignored through any special effects or abilities, but can be healed as any other ability damage.			Mythic Time Regression<br><br>You gain an insight bonus equal to your tier for all rolls during the relived round.<br><br>Augmented: If you expend one use of mythic power, you do not suffer any ability damage for using mythic time regression.	150, pg. 150<br>Ultimate Psionics, pg. 252<br>Psionics Augmented: Mythic Psionics, pg. 58	https://metzo.miraheze.org/wiki/Time_Regression
Timeless Body	Psychoportation	None	Material	1 standard action	Personal	Target: You	1 round	None	No	17	Your body ignores all harmful (and helpful) effects, beginning when you finish manifesting this power and ending at the end of your next turn. While timeless body is in effect, you are invulnerable to all attacks and powers.<br><br>This power cannot be quickened.			Mythic Timeless Body<br><br>Add your tier to the number of rounds before the effect ends. You can dismiss it as a free action.<br><br>Augmented: You can choose which effects work on you and which don't.	Psionics Unleashed, pg. 150<br>Ultimate Psionics, pg. 252<br>Psionics Augmented: Mythic Psionics, pg. 58	https://metzo.miraheze.org/wiki/Timeless_Body
Timestepped Form	Psychoportation	None	Mental	1 hour	Personal	Target: You	24 hours	None	No	17	Over the manifestation of this power, you siphon off tiny slices of yourself from the current timestream, cementing your physical form where it is when you manifest this power. Note your current hit point total, physical ability scores (Strength, Dexterity, and Constitution), and any conditional modifiers or conditions such as ability damage to physical ability scores, disease, negative levels, and poison. If at any point within the duration of the power you are reduced to fewer than 0 hit points or are slain by a death effect that is not mind-affecting, you can immediately let your current physical body die and assume the timestepped form of your physical body on your next turn.<br><br>When this happens, your corpse disappears, and you can either resume the place of your dead body (already wearing any clothing still attached to the corpse) or appear in any place you’ve been within 500 feet of where your corpse lies (but without any of your gear).<br><br>You still retain your original mind, and therefore don’t regain any power points or expended abilities. You are still under any mental influences and energy drain effects you were under when you recalled the form of your physical body, but don’t retain any physical effects such as bleed damage or poison (unless you suffered from these conditions at the time the power was manifest). Spells and powers affecting you when you time-stepped your body abide by their normal durations. Manifesting this power again replaces any previous version of yourself that you time-stepped.	Augment: If you spend 2 additional power points, no time has passed for your time-stepped body when you recall it, so all powers and effects that were active when you time-stepped are once again active when you recall it.			Psionics Augmented: Feats and Powers, pg. 15	https://metzo.miraheze.org/wiki/Timestepped_Form
Tormenting the Dead	Athanatism	None	Auditory and olfactory	1 standard action	Medium (100 ft. + 10 ft./level)	Target: One incorporeal creature	Instantaneous	Fortitude half	Yes	5	You summon ethereal implements to lash and torment the incorporeal. This power deals 5d8 damage to the target; this damage is not reduced by the incorporeal trait.	Augment: This power may be augmented in one of the following ways.<br><br>• For every one additional power point you spend, the power deals an additional 1d8 damage.<br><br>• By spending an additional 4 power points, you may wrack all targets hit with pain. If they fail the Fortitude save, they are also sickened for 1d6 rounds. This special use of the sickened condition affects incorporeal undead normally, regardless of any immunity they may have.<br><br>• By spending an additional 4 power points, this power affects all incorporeal creatures in a 20-ft.-radius spread, instead of only a single target.<br><br>In addition, for every 2 power points spent augmenting this power, increase the power's save DC by 1.			Psionics Augmented: Seventh Path, pgs. 43–44	https://metzo.miraheze.org/wiki/Tormenting_the_Dead
Tormenting the Living	Athanatism	Mind-affecting<br>Fear	Auditory and material	1 standard action	Touch	Target: One living creature touched	1 hour/level	Will negates	Yes	3	You bind a spirit to a living creature, goading it into tormenting and torturing them. They are constantly harassed by ghostly hallucinations, suffering a -2 penalty on Reflex saves and AC against attacks of opportunity. During your turn, as a swift action, you may expend your psionic focus to empower the spirit, haunting the creature more intensely. It is shaken for a number of rounds equal to your Charisma modifier.	Augment: You may augment this power in one of the following ways.<br><br>• By spending an additional 4 power points, any incorporeal creature that attacks the target gains a +2 bonus on attack rolls, damage rolls, and save DCs of powers it manifests or effects it creates.<br><br>• By spending an additional 2 power points, increase the duration of this power to 1 day/level.<br><br>• By spending an additional 4 power points, increase the duration of this power to 1 week/level.			Psionics Augmented: Seventh Path, pg. 44	https://metzo.miraheze.org/wiki/Tormenting_the_Living
