name	slot	descriptors	effect	bind_effect	is_retold	source	url
The End of All Things	Storm	Fear, Mind-affecting				Eldritch Akasha — Whispers of the Old Ones	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Energization	Storm	Electricity	This storm fills your allies with speed, while sapping agility from your foes.	Infuse an ally with speed, granting them both hustle and haste, or slow an enemy.		Studio M— April 2021 Compilation; The Tome of Storms	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Engineer	Chest	Title	Gain Improved Sunder, deal additional damage with sunders, disarm magical traps	Gain Greater Sunder, repair broken objects		Akasha Reshaped: Path of Enlightenment	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Enshadowed	Shoulders	Darkness, Teleportation, Title				Akasha Retold — Titles of Providence	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Enshrouding	Storm	Air, Teleportation	This storm creates a bank of fog which obscures all sight.	Gain blindsense, banish creatures to be lost in the fog.		Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Ephemeral	Body	Title	Gain the ability to teleport; become stealthy while doing so.	Conjure concealing smoke.		Divergent Paths: Rajah	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Ephemeral (Retold)	Shoulders	Title			yes	Akasha Retold — Rajah Retold	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Eternal	Shoulders	Healing, Title				Akasha Retold — Titles of Providence	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Eternal (Azoth Games)	Chest	Fleshwarp, Title	Gain wings that allow gliding and featherfalling. Bonus against death effects and recurring saves.	Gain fly speed, save bonuses are shared with allies. Revive the recently dead with young template.		Akashic Tales: Tokusatsu	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Evoker	Wrists	Force, Title	Launch unavoidable shards of force.	Shards of force explode in an area.		Studio M— June 2021 Compilation	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Evoker (Akasha Retold)	Wrists	Force, Title			yes	Akasha Retold — Titles of Providence	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Expanse	Storm		This storm blocks line of sight beyond the edge of the storm & reduces gravity inside, grants bonus to attacks & other checks.	Choose to remove gravity entirely and gain a fly speed.		Eldritch Akasha — Dreams of the Void	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Exploiter	Shoulders	Title	Trick creatures, lower their AC and saving throws.	Gain Dirty Trick Master, treat allies as though they were maintaining a Roaring Mouse stance		Akasha Reshaped: Path of Enlightenment	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Faithful	Chest	Law, Necromancy, Title	Choose an ally, gain status effect. Gain save bonus when adjacent to/in sight of ally.	Deceased ally returns as Unfettered Phantom temporarily.		Apocryphal Akasha: Meta-Akasha	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Fallen	Headband	Evil, Title	Inhibit enemies with black feathers.	Unleash cone of feathers, wield unholy weapons.		Divergent Paths: Rajah	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Fallen (Retold)	Headband	Evil, Pain, Title			yes	Akasha Retold — Rajah Retold	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Fallout	Storm	Poison	This storm fills the air with deadly radiation, dealing Con and Str damage to foes within.	Target a single creature with a high dose of radiation.		Studio M— September 2021 Compilation; The Tome of Storms	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Final Sting	Wrists	Enhanced, Poison	Create a drow razor that is coated in a mildly paralytic poison.	Increase the movement penalty of your venom, fully paralyze a creature whose movement is reduced to 0.		The Tome of Veils	https://metzo.miraheze.org/wiki/Daevic_Veil_List
The First	Headband	Divination, Mind-affecting, Title	Gain bonuses to initiative and saves vs charm and compulsion, use command as an SLA.	The command SLA affects multiple creatures, the saving throw bonus applies to slowing effects.		Akashic Tales: Relics of Atlantis	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The First Bloom	Storm	Poison	This storm causes plants to grow, creating difficult terrain and entangling creatures.	Cause plants to sprout spontaneously, create a wall of thorns.		Studio M— April 2021 Compilation; The Tome of Storms	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Flash Flood	Storm	Water	This storm summons a flood that causes difficult terrain and can trip or bull rush creatures.	Trip and bull rush with the same action, grapple creatures who are tripped and bull rushed.		Studio M— July 2021 Compilation; The Tome of Storms	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Fragile Speed	Shoulders	Title, Variant				Akasha Retold — Titles of Providence	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Fragile Strength	Wrists	Title, Variant				Akasha Retold — Titles of Providence	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Fulguration	Storm	Electricity	This storm darkens the sky, allowing you to strike your foes with lightning attacks.	Create a burst of electricity, striking all within range.		Studio M— April 2021 Compilation; The Tome of Storms	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Fulmination	Storm	Electricity	This storm darkens the sky, lowering visibility and striking your foes with lightning.	Call forth additional lightning bolts.		Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Geokinetic	Feet	Earth, Title				Akasha Retold — Titles of Providence	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Gleaming	Storm	Healing	This storm grants temporary HP to creatures healed by positive energy and harms and dazzles creatures hurt by it.	Affect all creatures in the storm and increase effectiveness.		The Tome of Storms	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Gloaming	Storm	Death	This storm grants temporary HP to creatures healed by negative energy and harms and dazzles creatures hurt by it.	Affect all creatures in the storm and increase effectiveness.		The Tome of Storms	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Gravekeeper	Neck	Title	Drain life from enemies you hit.	Heal upon dropping an enemy or as a move action.		Divergent Paths: Rajah	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Gravekeeper (Retold)	Neck	Healing, Title			yes	Akasha Retold — Rajah Retold	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Guiding Star	Headband	Divination				Akashic Tales: Gifts of Winter Pageantry	https://metzo.miraheze.org/wiki/Guru_Veil_List
The Heatwave	Storm	Fire	This storm deal fire damage and causes fatigue in those who take a full round's worth of actions.	Fatigue those who take any two actions, increase fatigue to exhaustion.		Studio M— November 2021 Compilation	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Heavensfall	Storm	Good, Light	This storm empowers good creatures and penalizes evil creatures.	Good creatures empowered can bypass some DR, Resistances or Hardness of evil creatures.		The Tome of Storms	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Hegemon	Headband	Dao, Compulsion, Law, Title				Whispers of Immortality	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Hellsfall	Storm	Evil, Light	This storm empowers evil creatures and penalizes good creatures.	Evil creatures empowered can bypass some DR, Resistances or Hardness of good creatures.		The Tome of Storms	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Hierarch	Headband	Variant				Akasha Retold — Titles of Providence	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Hurricane	Storm	Air	This storm batters foes, damaging and pushing them around.	Batter a foe with a move action, or all foes with a full round action		Studio M— July 2021 Compilation; The Tome of Storms	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Hydrokinetic	Wrists	Title, Water				Akasha Retold — Titles of Providence	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Illusionist	Shoulders	Glamer, Title	Hide in plain sight.	Attack without breaking stealth and hide in plain sight as a move action.		Studio M— June 2021 Compilation	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Illusionist (Akasha Retold)	Shoulders	Glamer, Title			yes	Akasha Retold — Titles of Providence	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Infestation	Storm	Disease	This storm creates fungal spores that lower AC and cause those infested to take bleed damage.	Infested creatures take penalties to Wisdom and Dexterity.		Studio M— September 2021 Compilation; The Tome of Storms	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Ingress	Storm	Evil, Summoning	This storm creates rifts in space that allow you to make attacks with otherworldly limbs.	Summon more limbs to attack creatures in an area of effect.		The Tome of Storms	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Iridescent	Shoulders	Fleshwarp, Light, Title	Gain pair of wing natural attacks. Cause light that dispels darkness and deals damage.	Gain fly speed. Burn essence to attempt staggering enemies damaged by light.		Akashic Tales: Tokusatsu	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Jovial	Hands	Title	Gain Improved Feint, feint as part of moving.	Gain Greater Feint, feint more easily against non-humanoid creatures		Akasha Reshaped: Path of Enlightenment	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Kineticist	Hands	Psionic, Title	Convert any elemental damage to your active energy type, gain +1 ML when manifesting psychokinesis powers.	Convert all damage you deal to any kind of psionic elemental damage		Akasha Reshaped: Psionic Essence	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Lovers (veil)	Hands	Title				Akasha Retold — Titles of Providence	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Luchadore	Head	Title	Gain Improved Grapple, grapple with fewer limbs, grapple at the end of a charge	Gain Greater Grapple and several special grapple finishing moves		Akasha Reshaped: Path of Enlightenment	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Luminescence	Storm	Radiation				Akashic Tales: Tokusatsu	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Memory	Head	Title	Your attacks cause distortions that explode one round later.	Slow victims.		Divergent Paths: Rajah	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Memory (Retold)	Head	Title			yes	Akasha Retold — Rajah Retold	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Methane Seep	Storm	Seastorm	This seastorm causes creatures and objects to sink beneath the waves.	The methane of the seastorm can explode.		Akasha Reshaped: Moon and Tides	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Mighty	Shoulders	Title	Enter bull rush- & sunder-enhancing rage.	Steer & damage foes by bull rushing into things.		Divergent Paths: Rajah	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Mighty (Retold)	Shoulders	Title			yes	Akasha Retold — Rajah Retold	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Myriad	Head, Shoulders	Title				Akasha Retold — Titles of Providence	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Necromancer	Hands	Title	Place doom marks on foes. Gain temporary hit points as foes take extra damage.	Doom Mark foes from close range		Studio M— June 2021 Compilation	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Necromancer (Akasha Retold)	Hands	Title			yes	Akasha Retold — Titles of Providence	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Nightmare	Hands	Curse, Title	Curse enemies and cause them to become anchored to the spot.	Isolate target from allies.		Divergent Paths: Rajah	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Nightmare (Retold)	Hands	Curse, Title			yes	Akasha Retold — Rajah Retold	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Nomad (veil)	Feet	Psionic, Title	Float above the ground, walk on infirm surfaces, walls, and ceilings. Gain +1 ML when manifesting psychoportation powers.	Gain improved uncanny dodge, treat an adjacent square as yourself for flanking.		Akasha Reshaped: Psionic Essence	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Permafrost	Storm	Cold	This storm allows you to cause a rain of stinging ice to pelt your foes, dealing cold damage and slicking the ground.	Progressively freeze creatures to the ground.		Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Piercing Light	Hands, Shoulders	Enhanced, Light	Conjure a golden longbow that harms creatures sensitive to light.	Hands: Fire darkness-banishing arrows.<br>Shoulders: Gain Hands bind, multiple line attacks.		The Soulforge: Content Compendium	https://metzo.miraheze.org/wiki/Daevic_Veil_List
The Piercing Light (Akasha Retold)	Hands, Shoulders	Enhanced, Light			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
The Point of Deflection	Hands, Wrists	Enhanced, Variant				Expanded Akasha: Variant Arsenal 2	https://metzo.miraheze.org/wiki/Daevic_Veil_List
The Primordial	Chest	Acid, Cold, Electricity, Fire, Title	Gain animus and various elemental effects.	Enhance elemental effects.		Divergent Paths: Rajah	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Primordial (Retold)	Wrists	Cold, Earth, Electricity, Fire, Title			yes	Akasha Retold — Rajah Retold	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Prominent	Head	Emotion, Fear, Mind-affecting, Title				Akasha Retold — Titles of Providence	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Protector	Wrists	Title	Move to intercept incoming attack.	Ease interception, gain temporary AC & save bonuses		Divergent Paths: Rajah	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Protector (Retold)	Wrists	Title			yes	Akasha Retold — Rajah Retold	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Pulsar	Storm	Electricity, Fire, Light	This storm targets two spaces and damages all creatures between with fire or electric damage, whichever is worse.	Base effect happens automatically without spending a standard action and can choose to make a cone instead.		Eldritch Akasha — Dreams of the Void	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Pure	Shoulders	Good, Title				Akasha Retold — Titles of Providence	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Putrefaction	Storm	Disease	This storm allows you to rot the flesh of foes, damaging them and sapping their Strength.	Rot the flesh of all foes in the area.		Studio M— September 2021 Compilation; The Tome of Storms	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Pyrokinetic	Hands	Fire, Title				Akasha Retold — Titles of Providence	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Quelling	Storm	Mind-affecting	This storm creates an area of lethargy to fatigue your foes.	Impede the actions of target.		Studio M— December 2020 Compilation; The Tome of Storms	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Quickening	Head	Title	Gain DR/-, blindsense, and increased move speed.	Become immortal, gain positive levels when slaying creatures Grant this veil to foes that slay you.		April Tools Day	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Red Tide	Storm	Seastorm	This seastorm obscures vision and chokes the breath from water-breathers.	Steal health from foes.		Akasha Reshaped: Moon and Tides	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Resolute	Head	Title	Gain psionic benefits, expend psionic focus to re-roll some dice rolls.	Recover psionic focus on dropping a foe.		Divergent Paths: Rajah	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Resolute (Retold)	Head	Psionic, Title			yes	Akasha Retold — Rajah Retold	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Rime	Storm	Cold	This storm causes ice to build up on all within, chilling foes and armoring allies.	Target ally for strengthened protection.		Studio M— December 2020 Compilation; The Tome of Storms	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Risen Dead	Shoulders	Death, Title	Entitle a corpse and command it as an undead creature.	Create more powerful undead.		Akashic Horrors	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Risen Dead (Retold)	Shoulders	Death, Evil, Negative Energy, Title			yes	Akasha Retold — Titles of Providence	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Scouring	Storm	Air, Earth	This storm creates a blinding sandstorm, lowering visibility and damaging foes.	Unleash blinding scouring blast.		Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Sculptor	Hands	Curse, Healing, Title				Akasha Retold — Titles of Providence	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Seer	Headband	Psionic, Title	Gain detect psionic and detect akasha as PLAs, swift action gain +2 insight bonus to your next d20 roll, gain +1 ML when manifesting clairsentience powers.	Gain sensitivity to psychic impressions as an at-will PLA, roll twice when using this veil's swift action.		Akasha Reshaped: Psionic Essence	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Seer (Akasha Retold)	Head	Divination, Title			yes	Akasha Retold — Titles of Providence	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Shaper	Neck	Psionic, Title	Gain crystal armor or a small ectoplasmic sheen, gain +1 ML when manifesting metacreativity powers.	Your crystal aspect grants DR or your ectoplasmic aspect increases your reach.		Akasha Reshaped: Psionic Essence	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Shardrain	Storm	Earth	This storm creates shards of metal, treated as great swords, you can use to make ranged or melee attacks.	Area of effect rain of shards that leave difficult terrain that harms creatures passing through it.		The Tome of Storms	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Shitstorm	Storm	Poison	This storm rains down disgusting brown solids that poison foes.	The poison's power increases and ignores immunity		April Tools Day	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Sirocco	Storm	Air, Fire	This storm creates a blistering heat, dealing fire damage and sickening foes.	Knock creatures down with scorching wind.		Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Skirmisher	Feet	Title	Move yourself and enemies when you attack.	Shove enemies on hit.		Divergent Paths: Rajah	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Skirmisher (Retold)	Feet	Title			yes	Akasha Retold — Rajah Retold	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Sniper	Wrists	Title	Ricochet attacks, redirect on a miss.	Improve weapons critical damage & threat range.		Divergent Paths: Rajah	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Sniper (Retold)	Wrists	Teleportation, Title			yes	Akasha Retold — Rajah Retold	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Sparker	Neck	Electricity, Title	Gain Combat Stamina, augment maneuvers, increase sparking range by 1	Heal from electricity damage, increase sparking range by 1		Akasha Reshaped: Path of Enlightenment	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Specialist	Wrists	Acid, Cold, Electricity, Fire, Title	Gain phantom ammunition with unique effects.	Create flurry of damaging territories.		Divergent Paths: Rajah	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Specialist (Retold)	Wrists	Acid, Cold, Electricity, Fire, Title			yes	Akasha Retold — Rajah Retold	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Starshower	Storm	Light	This storm grants allies bonuses to attack rolls, saves and skill checks.	Wish upon a star to add a small bonus to an ally's roll and burn essence to reroll a failed check.		Eldritch Akasha — Dreams of the Void	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Stillness	Storm	Cold	This storm slows both winds and foes, hampering their offense and defense.	Stagger chosen foe with stilling frost.		Studio M— December 2020 Compilation; The Tome of Storms	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Stormbringer	Feet	Sonic, Title	Gain bonuses from attacking from a charge or from attacking after a jump.	Create energy burst on jump or fall.		Divergent Paths: Rajah	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Stormbringer (Retold)	Feet	Sonic, Title			yes	Akasha Retold — Rajah Retold	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Superluminal	Feet	Fleshwarp, Title	Gain enhancement bonus to speeds. Burn essence to avoid provoking and teleport your speed.	Undo negative events as immediate action at increasing risk of destroying this veil.		Akashic Tales: Tokusatsu	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Swallowing Sea	Storm	Water	This storm summons deeps water and allows seastorms within its area.	Drag creatures down to the depths and entangle them.		Akashic Tales: Relics of Atlantis	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Sweltering	Storm	Fire, Light	This storm summons a miniature sun that dehydrates and fatigues foes.	Creatures take more damage from dehydration, the sun burns creatures weak to sunlight.		Studio M— July 2021 Compilation; The Tome of Storms	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Telepath	Head	Mind-affecting, Psionic, Title	Gain a collective and telepathy, gain empathic connection as a PLA, gain +1 ML when manifesting telepathy powers.	Gain mind thrust as a PLA.		Akasha Reshaped: Psionic Essence	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Tempest	Storm	Air	This storm allows you to command the wind, as well as bull rush your foes.	Use wind-based telekinesis.		Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Transference	Storm	Teleportation	This storm allows you to teleport creatures short distances.	Teleport many creatures anywhere in your storm, with a 10 minute cooldown.		The Tome of Storms	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Transmuter	Hands	Title	Turn the ground into grease or the air into difficult terrain.	Alter the air and the ground at the same time.		Studio M— June 2021 Compilation	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Transmuter (Akasha Retold)	Hands	Title			yes	Akasha Retold — Titles of Providence	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Tweetstorm	Storm	Compulsion, Mind-affecting, Sonic	This storm summons ethereal birds, dealing sonic damage and confusing foes.	Unleash a sonic blast and cause confused creatures to only attack themselves or others.		April Tools Day	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Twins	Body	Title	Gain clones you can threaten with.	Swap places with duplicate.		Divergent Paths: Rajah	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Twins (Retold)	Shoulders	Glamer, Teleportation, Title			yes	Akasha Retold — Rajah Retold	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Uproar	Storm	Sonic	This storm allows you to create thunder, causing foes to take sonic damage, as well as become deafened, and flat-footed.	Expand thunderclap into a cone or focus sound to intensify harm.		Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Venomous	Belt	Poison, Title	Your attacks become envenomed.	Boost poison DC, ignore immunity & treat poisoned foes as flat-footed.		Divergent Paths: Rajah	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Venomous (Retold)	Belt	Poison, Title			yes	Akasha Retold — Rajah Retold	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Verdant	Feet	Title				Apocryphal Disciplines — Intoxicating Petal	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Void	Storm	Darkness	This storm pulls creatures up and holds them in air, damaging them if they remain airborne.	Causes more damage and causes creatures to be unable to breathe, hear, or use verbal components.		The Tome of Storms	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Vortex	Storm	Seastorm	This seastorm creates a whirlpool that moves and damages creatures and objects.	The center of the whirlpool traps creatures and deals greater damage.		Akasha Reshaped: Moon and Tides	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Warlord	Shoulders	Title	Gain a flag made of akasha, grant bonuses to nearby allies.	Place protective sigil that grants AC & temporary hit points.		Divergent Paths: Rajah	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Warlord (Retold)	Shoulders	Title			yes	Akasha Retold — Rajah Retold	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Watcher	Head	Curse, Title	Curse enemies, and cause them to take penalties when attacking your allies.	Gain temporary hit points by damaging cursed opponents.		Divergent Paths: Rajah	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Watcher (Retold)	Head	Curse, Title			yes	Akasha Retold — Rajah Retold	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Wave	Shoulders	Title, Water	Gain a swim speed, increase movement when charging, running, or withdrawing.	Make melee attacks at range, count as an aquatic creature for call of the deep effects.		Akasha Reshaped: Moon and Tides	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Whiteout	Storm	Cold				Akashic Tales: Gifts of Winter Pageantry	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Wild	Neck	Title	Gain physical attributes when attacking with unarmed or natural attacks.	Increase weapon size when enhanced.		Divergent Paths: Rajah	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Wild (Retold)	Neck	Title			yes	Akasha Retold — Rajah Retold	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Wildfire	Storm	Fire, Poison	This storm ignites plants and unattended objects within the area, as well as creatures in contact with the flames.	The area fills with smoke that obscures vision and sickens foes.		Studio M— July 2021 Compilation; The Tome of Storms	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
The Wind	Feet	Title	Drawing a weapon creates a whirlwind for attacking.	Sheathe weapon as a free action, step towards attacked enemy.		Divergent Paths: Rajah	https://metzo.miraheze.org/wiki/Rajah_Veil_List
The Wind (Retold)	Feet	Air, Title			yes	Akasha Retold — Rajah Retold	https://metzo.miraheze.org/wiki/Rajah_Veil_List
Therianthropic Pelt	Shoulders	Polymorph				The Scribe's Archive	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Thief of Moments	Hands	Time				Expanded Akasha — Timely Cunning	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Thrornthrowers	Hands, Wrists, Shoulders	Fleshwarp				Eldritch Akasha — Lost Esoteries	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Thrumming Diadem	Headband	Sonic	Diadem amplifies sonic damage.	Deafen and sicken with sonic damage.		Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Huay_Veil_List
Thrumming Warpweave	Head, Headband	Teleportation				Akashic Archives	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Thunder's Kindness	Hands, Chest		Create a quarterstaff, gain purify food and drink at will.	Hands: Create a quarterstaff, gain purify food and drink at will.<br>Chest: Gain the Hands bind, quarterstaff can become an animated object.		Akashic Tales: Spider's Stories	https://metzo.miraheze.org/wiki/Guru_Veil_List
Thunder's Kindness (Enhanced)	Hands, Chest	Enhanced	Create a quarterstaff, gain purify food and drink at will.	Hands: Use abstemiousness as an SLA, gain the dancing special ability.<br>Wrists: Gain the Hands bind, quarterstaff can become an animated object.		Akashic Tales: Spider's Stories; The Soulforge: Content Compendium	https://metzo.miraheze.org/wiki/Guru_Veil_List
Thurston's Bladewards	Wrists		Gain DR/bludgeoning.	Gain shield bonus to AC.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Thurston's Bladewards (Akasha Retold)	Wrists	Force			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Timaeus' Model	Ring	Lawful	Gain a touch attack which changes element each round.	Create an effect which deals damage and increases the DC of matching elemental abilities, reincarnate 1/month.		Akashic Tales: Relics of Atlantis	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Timebinder's Touch	Wrists, Neck, Body	Time	Touch a creature to move it backwards in time or slow it.	Wrists: Freeze a creature in time.<br>Neck: Gain Wrists bind, put creatures in stasis.<br>Body: Put yourself in stasis indefinitely.		The Tome of Veils	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Timebinder's Touch (Akasha Retold)	Wrists, Neck, Body	Time			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Timeturned Hourglass	Neck, Body	Time				Expanded Akasha — Timely Cunning	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Torc of Corrupted Essence	Neck	Brand, Curse	Brand a creature and burn its essence.	Corrupt the branded creature's essence when it has no essence left to burn.		Akashic Horrors	https://metzo.miraheze.org/wiki/Promethean_Veil_List
Torque of the Whispering Spirit	Neck	Fear				Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Tortoise's Shell	Shoulders, Body	Earth	Gain stone plate that can transform into a jug full of wine.	Shoulders: Gain a fly speed<br>Body: Form an earthen cocoon when you die that can revive you from death		Akashic Tales: Spider's Stories	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Tortoise's Shell (Enhanced)	Shoulders, Body	Earth, Enhanced	Gain stone plate that can transform into a jug full of wine.	Shoulders: Gain a fly speed.<br>Body: Form an earthen cocoon when you die that can revive you from death.		Akashic Tales: Spider's Stories; The Soulforge: Content Compendium	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Toxinflesh Mantle	Shoulders	Poison, Variant				Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Daevic_Veil_List
